,Sentence1,Emotion
8585,The conversation with my mother was depressing.,1
1316,The situation makes Torrance feel ecstatic.,3
6828,My dad told us all about the recent heartbreaking events.,1
3837,Harry made me feel glad.,3
1200,The situation makes Alonzo feel angry.,0
3824,Harry made me feel annoyed.,0
7977,The conversation with my boyfriend was amazing.,3
3070,I made Latisha feel terrified.,2
4540,Nancy made me feel angry.,0
219,Adam feels excited.,3
1172,My aunt feels scared.,2
449,This boy feels disappointed.,1
5221,Terrence found himself in a vexing situation.,0
267,Roger feels devastated.,1
2279,The situation makes my sister feel excited.,3
6434,Terrence told us all about the recent dreadful events.,2
3299,I made Katie feel excited.,3
7530,The conversation with Leroy was horrible.,2
1491,The situation makes Alan feel discouraged.,2
8244,The conversation with Amanda was displeasing.,0
3527,I made my girlfriend feel devastated.,1
4687,My daughter made me feel devastated.,1
4781,My mom made me feel furious.,0
2501,I made Torrance feel furious.,0
3529,I made my girlfriend feel disappointed.,1
2459,I made Alphonse feel excited.,3
4206,Nichelle made me feel depressed.,1
7004,Lakisha told us all about the recent displeasing events.,0
4466,Melanie made me feel depressed.,1
6871,Shereen told us all about the recent threatening events.,2
6629,Jack told us all about the recent gloomy events.,1
6004,Stephanie found herself in a displeasing situation.,0
7744,The conversation with Frank was displeasing.,0
62,Jerome feels irritated.,0
2310,The situation makes my wife feel terrified.,2
7347,My wife told us all about the recent grim events.,1
8017,The conversation with my uncle was amazing.,3
2619,I made Adam feel excited.,3
7134,Katie told us all about the recent dreadful events.,2
7835,The conversation with Jack was funny.,3
5471,This man found himself in a threatening situation.,2
6738,My son told us all about the recent wonderful events.,3
8049,The conversation with Nichelle was gloomy.,1
1144,My mother feels annoyed.,0
5740,Jasmine found herself in an irritating situation.,0
1221,The situation makes Jamel feel furious.,0
3001,I made Nichelle feel furious.,0
2963,I made my uncle feel enraged.,0
7861,The conversation with this man was vexing.,0
3751,Lamar made me feel discouraged.,2
6913,Latisha told us all about the recent shocking events.,2
4708,My wife made me feel miserable.,1
4596,Ellen made me feel ecstatic.,3
8420,The conversation with Ellen was irritating.,0
1690,The situation makes my son feel terrified.,2
3814,Adam made me feel fearful.,2
3737,Darnell made me feel glad.,3
2954,I made my father feel fearful.,2
3758,Lamar made me feel relieved.,3
1617,The situation makes him feel glad.,3
5706,Latisha found herself in a serious situation.,1
2006,The situation makes Amanda feel depressed.,1
672,Latisha feels scared.,2
1014,She feels fearful.,2
789,Latoya feels disappointed.,1
6666,This man told us all about the recent serious events.,1
5305,Roger found himself in a depressing situation.,1
4629,This woman made me feel disappointed.,1
666,Latisha feels depressed.,1
1431,The situation makes Harry feel discouraged.,2
3037,I made Shereen feel glad.,3
4688,My daughter made me feel miserable.,1
5698,Ebony found herself in a wonderful situation.,3
7431,My mom told us all about the recent threatening events.,2
6115,My sister found herself in a funny situation.,3
2934,I made my boyfriend feel fearful.,2
1997,The situation makes Latoya feel glad.,3
6782,My father told us all about the recent outrageous events.,0
6467,Harry told us all about the recent grim events.,1
4526,Kristin made me feel depressed.,1
5820,Latoya found herself in an irritating situation.,0
7140,Betsy told us all about the recent irritating events.,0
4483,Katie made me feel enraged.,0
5905,Melanie found herself in a depressing situation.,1
7737,The conversation with Alan was amazing.,3
1845,The situation makes Ebony feel sad.,1
2666,I made Roger feel depressed.,1
2811,I made him feel discouraged.,2
3454,I made this girl feel fearful.,2
222,Harry feels irritated.,0
2194,The situation makes Ellen feel fearful.,2
5450,He found himself in a horrible situation.,2
3820,Harry made me feel angry.,0
6052,She found herself in a terrifying situation.,2
6957,Jasmine told us all about the recent amazing events.,3
3877,Roger made me feel glad.,3
872,Melanie feels scared.,2
6570,Justin told us all about the recent horrible events.,2
2450,I made Alphonse feel terrified.,2
363,Andrew feels enraged.,0
2631,I made Harry feel discouraged.,2
3090,I made Shaniqua feel terrified.,2
1596,The situation makes Jack feel ecstatic.,3
2737,I made Justin feel glad.,3
4135,My boyfriend made me feel happy.,3
3512,I made my wife feel scared.,2
4001,He made me feel furious.,0
3089,I made Shaniqua feel disappointed.,1
6714,My brother told us all about the recent dreadful events.,2
1843,The situation makes Ebony feel enraged.,0
5175,Darnell found himself in a funny situation.,3
7983,The conversation with my father was annoying.,0
955,Nancy feels happy.,3
3148,I made Tia feel miserable.,1
6273,Jamel told us all about the recent shocking events.,2
1015,She feels happy.,3
6229,My mom found herself in a gloomy situation.,1
2560,I made Malik feel angry.,0
3925,Justin made me feel sad.,1
8470,The conversation with this woman was horrible.,2
410,He feels terrified.,2
264,Roger feels annoyed.,0
4569,Stephanie made me feel disappointed.,1
83,Leroy feels enraged.,0
6925,Shaniqua told us all about the recent depressing events.,1
6344,Torrance told us all about the recent displeasing events.,0
7099,Heather told us all about the recent great events.,3
8230,The conversation with Latoya was horrible.,2
2074,The situation makes Melanie feel fearful.,2
5597,My father found himself in an amazing situation.,3
3887,Alan made me feel devastated.,1
6065,This woman found herself in a depressing situation.,1
779,Lakisha feels excited.,3
6126,My daughter found herself in a serious situation.,1
5570,My boyfriend found himself in a horrible situation.,2
6271,Jamel told us all about the recent threatening events.,2
3360,I made Stephanie feel angry.,0
7199,Nancy told us all about the recent great events.,3
1419,The situation makes Adam feel excited.,3
5651,Nichelle found herself in a threatening situation.,2
5560,My boyfriend found himself in an irritating situation.,0
8472,The conversation with this woman was terrifying.,2
3716,Torrance made me feel ecstatic.,3
7275,This woman told us all about the recent funny events.,3
939,Kristin feels excited.,3
3061,I made Latisha feel furious.,0
3420,I made this woman feel angry.,0
681,Shaniqua feels furious.,0
2584,I made Terrence feel annoyed.,0
3222,I made Courtney feel irritated.,0
217,Adam feels glad.,3
7185,Nancy told us all about the recent depressing events.,1
5941,Betsy found herself in a vexing situation.,0
6152,My wife found herself in a terrifying situation.,2
3770,Malik made me feel terrified.,2
8626,The conversation with my mom was serious.,1
1646,The situation makes this boy feel depressed.,1
1812,The situation makes Nichelle feel scared.,2
1625,The situation makes this man feel sad.,1
6203,My aunt found herself in an annoying situation.,0
7670,The conversation with Harry was horrible.,2
3335,I made Kristin feel happy.,3
4229,Shereen made me feel disappointed.,1
5542,My husband found himself in an outrageous situation.,0
4124,My boyfriend made me feel annoyed.,0
1119,My wife feels excited.,3
6713,My brother told us all about the recent shocking events.,2
5812,Lakisha found herself in a terrifying situation.,2
7653,The conversation with Adam was shocking.,2
2795,I made Jack feel happy.,3
3568,I made my aunt feel miserable.,1
2128,The situation makes Kristin feel miserable.,1
4183,My dad made me feel enraged.,0
4139,My boyfriend made me feel excited.,3
1955,The situation makes Tia feel happy.,3
2143,The situation makes Nancy feel enraged.,0
6487,Josh told us all about the recent grim events.,1
7583,The conversation with Lamar was annoying.,0
1093,My daughter feels anxious.,2
651,Ebony feels discouraged.,2
1482,The situation makes Alan feel irritated.,0
1526,The situation makes Justin feel depressed.,1
2798,I made Jack feel relieved.,3
2532,I made Darnell feel scared.,2
2289,The situation makes my daughter feel disappointed.,1
2107,The situation makes Betsy feel devastated.,1
5751,Jasmine found herself in a threatening situation.,2
6138,My daughter found herself in a wonderful situation.,3
334,Justin feels fearful.,2
463,My brother feels enraged.,0
2392,The situation makes my mom feel scared.,2
1956,The situation makes Tia feel ecstatic.,3
4449,Heather made me feel disappointed.,1
1529,The situation makes Justin feel disappointed.,1
3889,Alan made me feel disappointed.,1
3582,I made my mom feel irritated.,0
7831,The conversation with Jack was threatening.,2
1407,The situation makes Adam feel devastated.,1
5224,Terrence found himself in a displeasing situation.,0
8021,The conversation with my dad was vexing.,0
820,Courtney feels angry.,0
4018,He made me feel relieved.,3
3660,Jerome made me feel angry.,0
479,My brother feels excited.,3
3752,Lamar made me feel scared.,2
1179,My aunt feels excited.,3
5981,Nancy found herself in a vexing situation.,0
2600,I made Adam feel angry.,0
6055,She found herself in a funny situation.,3
8215,The conversation with Lakisha was funny.,3
7251,She told us all about the recent threatening events.,2
3673,Jerome made me feel anxious.,2
4428,Courtney made me feel miserable.,1
8286,The conversation with Heather was serious.,1
2576,I made Malik feel ecstatic.,3
5513,My brother found himself in a shocking situation.,2
2827,I made this man feel devastated.,1
1450,The situation makes Josh feel terrified.,2
8563,The conversation with my girlfriend was annoying.,0
6039,Ellen found herself in a great situation.,3
7968,The conversation with my boyfriend was heartbreaking.,1
2145,The situation makes Nancy feel sad.,1
6421,Terrence told us all about the recent vexing events.,0
7495,The conversation with Alphonse was funny.,3
8102,The conversation with Latisha was outrageous.,0
1215,The situation makes Alonzo feel happy.,3
127,Darnell feels devastated.,1
4462,Melanie made me feel irritated.,0
5403,Andrew found himself in an annoying situation.,0
4076,My brother made me feel ecstatic.,3
5489,This boy found himself in a gloomy situation.,1
966,Stephanie feels depressed.,1
133,Darnell feels anxious.,2
3511,I made my wife feel discouraged.,2
2309,The situation makes my wife feel disappointed.,1
7790,The conversation with Ryan was horrible.,2
2915,I made my husband feel happy.,3
2146,The situation makes Nancy feel depressed.,1
4222,Shereen made me feel irritated.,0
7654,The conversation with Adam was dreadful.,2
355,Ryan feels happy.,3
5746,Jasmine found herself in a serious situation.,1
2906,I made my husband feel depressed.,1
6118,My sister found herself in a wonderful situation.,3
2646,I made Josh feel depressed.,1
765,Lakisha feels sad.,1
3312,I made Betsy feel scared.,2
2391,The situation makes my mom feel discouraged.,2
2484,I made Leroy feel annoyed.,0
1868,The situation makes Latisha feel miserable.,1
5795,Tia found herself in a funny situation.,3
5106,Jerome found himself in a serious situation.,1
8522,The conversation with my daughter was outrageous.,0
7284,This girl told us all about the recent displeasing events.,0
5884,Heather found herself in a displeasing situation.,0
2638,I made Harry feel relieved.,3
5832,Latoya found herself in a terrifying situation.,2
5717,Latisha found herself in an amazing situation.,3
5709,Latisha found herself in a gloomy situation.,1
2182,The situation makes Ellen feel irritated.,0
3811,Adam made me feel discouraged.,2
2961,I made my uncle feel furious.,0
731,Tanisha feels discouraged.,2
8450,The conversation with her was horrible.,2
2272,The situation makes my sister feel scared.,2
6236,My mom found herself in a hilarious situation.,3
5195,Lamar found himself in a funny situation.,3
1553,The situation makes Ryan feel anxious.,2
5786,Tia found herself in a serious situation.,1
3815,Adam made me feel happy.,3
5272,Harry found himself in a terrifying situation.,2
1706,The situation makes my husband feel depressed.,1
6500,Roger told us all about the recent irritating events.,0
4706,My wife made me feel depressed.,1
1791,The situation makes my dad feel discouraged.,2
3993,Jack made me feel anxious.,2
3349,I made Nancy feel disappointed.,1
7919,The conversation with my brother was great.,3
1147,My mother feels devastated.,1
1707,The situation makes my husband feel devastated.,1
6424,Terrence told us all about the recent displeasing events.,0
3561,I made my aunt feel furious.,0
7993,The conversation with my father was shocking.,2
6905,Latisha told us all about the recent depressing events.,1
2012,The situation makes Amanda feel scared.,2
7086,Heather told us all about the recent serious events.,1
2028,The situation makes Courtney feel miserable.,1
4238,Shereen made me feel relieved.,3
3931,Justin made me feel discouraged.,2
6058,She found herself in a wonderful situation.,3
3650,Alphonse made me feel terrified.,2
7260,This woman told us all about the recent irritating events.,0
7341,My wife told us all about the recent vexing events.,0
3306,I made Betsy feel depressed.,1
1802,The situation makes Nichelle feel irritated.,0
2579,I made Malik feel excited.,3
7245,She told us all about the recent depressing events.,1
5875,Courtney found herself in a funny situation.,3
8150,The conversation with Jasmine was horrible.,2
2324,The situation makes my girlfriend feel annoyed.,0
1329,The situation makes Darnell feel disappointed.,1
6597,Ryan told us all about the recent amazing events.,3
7189,Nancy told us all about the recent gloomy events.,1
2913,I made my husband feel anxious.,2
2557,I made Lamar feel glad.,3
1197,My mom feels glad.,3
822,Courtney feels irritated.,0
3605,Alonzo made me feel sad.,1
6574,Justin told us all about the recent dreadful events.,2
3992,Jack made me feel scared.,2
5676,Shereen found herself in a hilarious situation.,3
5667,Shereen found herself in a grim situation.,1
7158,Betsy told us all about the recent wonderful events.,3
1593,The situation makes Jack feel anxious.,2
40,Alphonse feels angry.,0
8441,The conversation with her was vexing.,0
6306,Jerome told us all about the recent serious events.,1
6920,Shaniqua told us all about the recent irritating events.,0
3013,I made Nichelle feel anxious.,2
8590,The conversation with my mother was horrible.,2
4367,Lakisha made me feel devastated.,1
2282,The situation makes my daughter feel irritated.,0
8622,The conversation with my mom was outrageous.,0
261,Roger feels furious.,0
3121,I made Tanisha feel furious.,0
374,Andrew feels fearful.,2
5621,My dad found himself in a vexing situation.,0
3923,Justin made me feel enraged.,0
3198,I made Latoya feel relieved.,3
5233,Terrence found himself in a shocking situation.,2
5669,Shereen found herself in a gloomy situation.,1
7631,The conversation with Terrence was threatening.,2
826,Courtney feels depressed.,1
5366,Justin found himself in a serious situation.,1
1322,The situation makes Darnell feel irritated.,0
495,My son feels happy.,3
5078,Jamel found himself in a wonderful situation.,3
6363,Darnell told us all about the recent annoying events.,0
5939,Katie found herself in a great situation.,3
550,My father feels terrified.,2
117,Torrance feels glad.,3
6650,He told us all about the recent horrible events.,2
2555,I made Lamar feel happy.,3
608,Nichelle feels miserable.,1
4764,My aunt made me feel annoyed.,0
4280,Shaniqua made me feel angry.,0
5235,Terrence found himself in a funny situation.,3
6881,Ebony told us all about the recent vexing events.,0
2494,I made Leroy feel fearful.,2
7167,Kristin told us all about the recent grim events.,1
3430,I made this woman feel terrified.,2
7296,This girl told us all about the recent hilarious events.,3
1081,My daughter feels furious.,0
352,Ryan feels scared.,2
2319,The situation makes my wife feel excited.,3
4768,My aunt made me feel miserable.,1
8064,The conversation with Shereen was displeasing.,0
7852,The conversation with him was terrifying.,2
2378,The situation makes my aunt feel relieved.,3
5645,Nichelle found herself in a depressing situation.,1
1022,This woman feels irritated.,0
3154,I made Tia feel fearful.,2
8388,The conversation with Nancy was heartbreaking.,1
881,Katie feels furious.,0
5141,Torrance found himself in a vexing situation.,0
7344,My wife told us all about the recent displeasing events.,0
462,My brother feels irritated.,0
6635,Jack told us all about the recent funny events.,3
1771,The situation makes my uncle feel discouraged.,2
1266,The situation makes Jerome feel depressed.,1
7765,The conversation with Justin was depressing.,1
4307,Jasmine made me feel devastated.,1
7851,The conversation with him was threatening.,2
4174,My uncle made me feel fearful.,2
6047,She found herself in a grim situation.,1
6207,My aunt found herself in a grim situation.,1
1341,The situation makes Lamar feel furious.,0
6095,This girl found herself in a funny situation.,3
6606,Andrew told us all about the recent serious events.,1
6583,Ryan told us all about the recent annoying events.,0
6645,He told us all about the recent depressing events.,1
8259,The conversation with Amanda was great.,3
1372,The situation makes Malik feel scared.,2
105,Torrance feels sad.,1
5422,Jack found himself in an outrageous situation.,0
3709,Torrance made me feel disappointed.,1
3555,I made my mother feel happy.,3
508,My husband feels miserable.,1
1953,The situation makes Tia feel anxious.,2
3975,Andrew made me feel happy.,3
3033,I made Shereen feel anxious.,2
791,Latoya feels discouraged.,2
8144,The conversation with Jasmine was displeasing.,0
3681,Leroy made me feel furious.,0
2385,The situation makes my mom feel sad.,1
8535,The conversation with my daughter was funny.,3
1961,The situation makes Lakisha feel furious.,0
5337,Alan found himself in an amazing situation.,3
2668,I made Roger feel miserable.,1
4042,This boy made me feel irritated.,0
4343,Tia made me feel enraged.,0
4250,Ebony made me feel terrified.,2
248,Josh feels miserable.,1
4217,Nichelle made me feel glad.,3
8431,The conversation with Ellen was threatening.,2
2977,I made my uncle feel glad.,3
22,Jamel feels irritated.,0
79,Jerome feels excited.,3
6785,My father told us all about the recent depressing events.,1
4564,Stephanie made me feel annoyed.,0
1343,The situation makes Lamar feel enraged.,0
2764,I made Andrew feel annoyed.,0
6198,My mother found herself in a wonderful situation.,3
5381,Ryan found himself in a vexing situation.,0
4026,This man made me feel depressed.,1
2015,The situation makes Amanda feel happy.,3
3224,I made Courtney feel annoyed.,0
4395,Latoya made me feel happy.,3
2751,I made Ryan feel discouraged.,2
4236,Shereen made me feel ecstatic.,3
8528,The conversation with my daughter was heartbreaking.,1
7152,Betsy told us all about the recent terrifying events.,2
3872,Roger made me feel scared.,2
7159,Betsy told us all about the recent great events.,3
4169,My uncle made me feel disappointed.,1
1769,The situation makes my uncle feel disappointed.,1
44,Alphonse feels annoyed.,0
4178,My uncle made me feel relieved.,3
5925,Katie found herself in a depressing situation.,1
8402,The conversation with Stephanie was outrageous.,0
3186,I made Latoya feel depressed.,1
8199,The conversation with Tia was great.,3
7,Alonzo feels devastated.,1
1920,The situation makes Tanisha feel angry.,0
6098,This girl found herself in a wonderful situation.,3
4085,My son made me feel sad.,1
4388,Latoya made me feel miserable.,1
3136,I made Tanisha feel ecstatic.,3
2206,The situation makes her feel depressed.,1
1600,The situation makes him feel angry.,0
4066,My brother made me feel depressed.,1
3522,I made my girlfriend feel irritated.,0
8600,The conversation with my aunt was irritating.,0
2292,The situation makes my daughter feel scared.,2
4151,My father made me feel discouraged.,2
3734,Darnell made me feel fearful.,2
4116,My husband made me feel ecstatic.,3
2488,I made Leroy feel miserable.,1
101,Torrance feels furious.,0
1006,She feels depressed.,1
6890,Ebony told us all about the recent horrible events.,2
5391,Ryan found himself in a threatening situation.,2
2122,The situation makes Kristin feel irritated.,0
8172,The conversation with Tanisha was terrifying.,2
964,Stephanie feels annoyed.,0
3884,Alan made me feel annoyed.,0
404,He feels annoyed.,0
3844,Josh made me feel annoyed.,0
213,Adam feels anxious.,2
6218,My aunt found herself in a wonderful situation.,3
1385,The situation makes Terrence feel sad.,1
5731,Shaniqua found herself in a threatening situation.,2
1019,She feels excited.,3
4765,My aunt made me feel sad.,1
2899,I made my son feel excited.,3
1626,The situation makes this man feel depressed.,1
2209,The situation makes her feel disappointed.,1
2806,I made him feel depressed.,1
7486,The conversation with Alphonse was serious.,1
4224,Shereen made me feel annoyed.,0
2187,The situation makes Ellen feel devastated.,1
2515,I made Torrance feel happy.,3
8106,The conversation with Latisha was serious.,1
3438,I made this woman feel relieved.,3
4100,My husband made me feel angry.,0
8574,The conversation with my girlfriend was dreadful.,2
517,My husband feels glad.,3
7972,The conversation with my boyfriend was terrifying.,2
641,Ebony feels furious.,0
5770,Tanisha found herself in a horrible situation.,2
3444,I made this girl feel annoyed.,0
646,Ebony feels depressed.,1
823,Courtney feels enraged.,0
4619,She made me feel excited.,3
5098,Alphonse found himself in a wonderful situation.,3
841,Heather feels furious.,0
3735,Darnell made me feel happy.,3
7372,My girlfriend told us all about the recent terrifying events.,2
6321,Leroy told us all about the recent vexing events.,0
375,Andrew feels happy.,3
2461,I made Jerome feel furious.,0
3539,I made my girlfriend feel excited.,3
4690,My daughter made me feel terrified.,2
4131,My boyfriend made me feel discouraged.,2
1922,The situation makes Tanisha feel irritated.,0
2235,The situation makes this woman feel happy.,3
578,My uncle feels relieved.,3
4606,She made me feel depressed.,1
6290,Alphonse told us all about the recent horrible events.,2
8094,The conversation with Ebony was dreadful.,2
1907,The situation makes Jasmine feel devastated.,1
5163,Darnell found himself in an annoying situation.,0
4607,She made me feel devastated.,1
7545,The conversation with Torrance was depressing.,1
8549,The conversation with my wife was gloomy.,1
8325,The conversation with Katie was depressing.,1
1355,The situation makes Lamar feel happy.,3
7211,Stephanie told us all about the recent threatening events.,2
1598,The situation makes Jack feel relieved.,3
100,Torrance feels angry.,0
3460,I made my sister feel angry.,0
1353,The situation makes Lamar feel anxious.,2
3686,Leroy made me feel depressed.,1
2882,I made my son feel irritated.,0
8141,The conversation with Jasmine was vexing.,0
809,Amanda feels disappointed.,1
276,Roger feels ecstatic.,3
6089,This girl found herself in a gloomy situation.,1
3546,I made my mother feel depressed.,1
8148,The conversation with Jasmine was heartbreaking.,1
6195,My mother found herself in a funny situation.,3
2793,I made Jack feel anxious.,2
1016,She feels ecstatic.,3
1055,This girl feels happy.,3
2262,The situation makes my sister feel irritated.,0
8250,The conversation with Amanda was horrible.,2
8349,The conversation with Betsy was gloomy.,1
4796,My mom made me feel ecstatic.,3
3730,Darnell made me feel terrified.,2
4349,Tia made me feel disappointed.,1
833,Courtney feels anxious.,2
8461,The conversation with this woman was vexing.,0
7162,Kristin told us all about the recent outrageous events.,0
6579,Justin told us all about the recent great events.,3
1641,The situation makes this boy feel furious.,0
2879,I made my brother feel excited.,3
7181,Nancy told us all about the recent vexing events.,0
251,Josh feels discouraged.,2
130,Darnell feels terrified.,2
3402,I made her feel irritated.,0
6661,This man told us all about the recent vexing events.,0
652,Ebony feels scared.,2
8037,The conversation with my dad was amazing.,3
6869,Shereen told us all about the recent gloomy events.,1
7725,The conversation with Alan was depressing.,1
7560,The conversation with Darnell was irritating.,0
294,Alan feels fearful.,2
4772,My aunt made me feel scared.,2
1275,The situation makes Jerome feel happy.,3
896,Katie feels ecstatic.,3
6754,My husband told us all about the recent dreadful events.,2
829,Courtney feels disappointed.,1
4482,Katie made me feel irritated.,0
4530,Kristin made me feel terrified.,2
6059,She found herself in a great situation.,3
1052,This girl feels scared.,2
4099,My son made me feel excited.,3
1736,The situation makes my boyfriend feel ecstatic.,3
112,Torrance feels scared.,2
3991,Jack made me feel discouraged.,2
1408,The situation makes Adam feel miserable.,1
1983,The situation makes Latoya feel enraged.,0
6489,Josh told us all about the recent gloomy events.,1
3290,I made Katie feel terrified.,2
7700,The conversation with Roger was irritating.,0
8566,The conversation with my girlfriend was serious.,1
1755,The situation makes my father feel happy.,3
298,Alan feels relieved.,3
7132,Katie told us all about the recent terrifying events.,2
5690,Ebony found herself in a horrible situation.,2
2014,The situation makes Amanda feel fearful.,2
1363,The situation makes Malik feel enraged.,0
1029,This woman feels disappointed.,1
8200,The conversation with Lakisha was irritating.,0
6699,This boy told us all about the recent great events.,3
4474,Melanie made me feel fearful.,2
4201,Nichelle made me feel furious.,0
3890,Alan made me feel terrified.,2
441,This boy feels furious.,0
2566,I made Malik feel depressed.,1
7448,The conversation with Alonzo was heartbreaking.,1
7391,My mother told us all about the recent threatening events.,2
2192,The situation makes Ellen feel scared.,2
1720,The situation makes my boyfriend feel angry.,0
1288,The situation makes Leroy feel miserable.,1
7532,The conversation with Leroy was terrifying.,2
1724,The situation makes my boyfriend feel annoyed.,0
6040,She found herself in an irritating situation.,0
2444,I made Alphonse feel annoyed.,0
3195,I made Latoya feel happy.,3
8057,The conversation with Nichelle was amazing.,3
902,Betsy feels irritated.,0
5574,My boyfriend found himself in a dreadful situation.,2
2736,I made Justin feel ecstatic.,3
7309,My sister told us all about the recent gloomy events.,1
2991,I made my dad feel discouraged.,2
8510,The conversation with my sister was horrible.,2
5765,Tanisha found herself in a depressing situation.,1
5453,He found himself in a shocking situation.,2
6632,Jack told us all about the recent terrifying events.,2
8342,The conversation with Betsy was outrageous.,0
928,Kristin feels miserable.,1
2862,I made my brother feel irritated.,0
4180,My dad made me feel angry.,0
5412,Andrew found himself in a terrifying situation.,2
8311,The conversation with Melanie was threatening.,2
5924,Katie found herself in a displeasing situation.,0
2072,The situation makes Melanie feel scared.,2
4626,This woman made me feel depressed.,1
6941,Jasmine told us all about the recent vexing events.,0
4230,Shereen made me feel terrified.,2
5375,Justin found himself in a funny situation.,3
7857,The conversation with him was amazing.,3
6926,Shaniqua told us all about the recent serious events.,1
6073,This woman found herself in a shocking situation.,2
8581,The conversation with my mother was vexing.,0
7867,The conversation with this man was grim.,1
7066,Courtney told us all about the recent serious events.,1
559,My father feels excited.,3
6739,My son told us all about the recent great events.,3
2916,I made my husband feel ecstatic.,3
1256,The situation makes Alphonse feel ecstatic.,3
3920,Justin made me feel angry.,0
3358,I made Nancy feel relieved.,3
5718,Latisha found herself in a wonderful situation.,3
4448,Heather made me feel miserable.,1
541,My father feels furious.,0
