,Sentence2,Emotion
4588,Frank made me feel miserable.,1
5480,this girl found herself in a irritating situation.,0
7546,The conversation with Tia was serious.,1
6026,Frank found himself in a serious situation.,1
7357,my husband told us all about the recent amazing events.,3
6507,Nancy told us all about the recent grim events.,1
897,Jack feels glad.,3
6544,Ellen told us all about the recent displeasing events.,0
4160,my aunt made me feel angry.,0
2046,The situation makes Harry feel depressed.,1
8386,The conversation with Roger was serious.,1
114,Tia feels fearful.,2
6641,she told us all about the recent vexing events.,0
1930,The situation makes Terrence feel terrified.,2
4338,Terrence made me feel relieved.,3
6730,my daughter told us all about the recent horrible events.,2
7036,Jerome told us all about the recent hilarious events.,3
3771,Shereen made me feel discouraged.,2
5587,my mother found herself in a grim situation.,1
4633,this man made me feel anxious.,2
6962,Terrence told us all about the recent outrageous events.,0
5398,Stephanie found herself in a wonderful situation.,3
1872,The situation makes Jamel feel scared.,2
6066,this man found himself in a serious situation.,1
1534,The situation makes Melanie feel fearful.,2
5782,Torrance found himself in a outrageous situation.,0
3028,I made Malik feel miserable.,1
2126,The situation makes Josh feel depressed.,1
7780,The conversation with Stephanie was irritating.,0
1429,The situation makes Heather feel disappointed.,1
4237,Malik made me feel glad.,3
2477,I made Latoya feel glad.,3
853,Harry feels anxious.,2
816,Adam feels ecstatic.,3
2687,I made Betsy feel devastated.,1
2266,The situation makes my brother feel depressed.,1
4622,this man made me feel irritated.,0
2195,The situation makes Frank feel happy.,3
6516,Nancy told us all about the recent hilarious events.,3
3846,Kristin made me feel depressed.,1
6814,my aunt told us all about the recent dreadful events.,2
6413,Shereen told us all about the recent shocking events.,2
5080,Jasmine found herself in a irritating situation.,0
798,Jerome feels relieved.,3
8430,The conversation with Frank was horrible.,2
2027,The situation makes Andrew feel devastated.,1
4791,my dad made me feel discouraged.,2
653,Alonzo feels anxious.,2
7400,my uncle told us all about the recent irritating events.,0
4758,my father made me feel relieved.,3
7869,The conversation with this woman was gloomy.,1
5852,Adam found himself in a terrifying situation.,2
2525,I made Lakisha feel sad.,1
8585,The conversation with my father was depressing.,1
1316,The situation makes Tia feel ecstatic.,3
6828,my mom told us all about the recent heartbreaking events.,1
3837,Heather made me feel glad.,3
1200,The situation makes Ebony feel angry.,0
3824,Heather made me feel annoyed.,0
7977,The conversation with my girlfriend was amazing.,3
3070,I made Jamel feel terrified.,2
4540,Roger made me feel angry.,0
219,Amanda feels excited.,3
1172,my uncle feels scared.,2
449,this girl feels disappointed.,1
5221,Tanisha found herself in a vexing situation.,0
267,Nancy feels devastated.,1
2279,The situation makes my brother feel excited.,3
6434,Tanisha told us all about the recent dreadful events.,2
3299,I made Jack feel excited.,3
7530,The conversation with Shaniqua was horrible.,2
1491,The situation makes Betsy feel discouraged.,2
8244,The conversation with Adam was displeasing.,0
3527,I made my boyfriend feel devastated.,1
4687,my son made me feel devastated.,1
4781,my dad made me feel furious.,0
2501,I made Tia feel furious.,0
3529,I made my boyfriend feel disappointed.,1
2459,I made Jasmine feel excited.,3
4206,Lamar made me feel depressed.,1
7004,Darnell told us all about the recent displeasing events.,0
4466,Justin made me feel depressed.,1
6871,Malik told us all about the recent threatening events.,2
6629,Katie told us all about the recent gloomy events.,1
6004,Ryan found himself in a displeasing situation.,0
7744,The conversation with Ellen was displeasing.,0
62,Latoya feels irritated.,0
2310,The situation makes my husband feel terrified.,2
7347,my husband told us all about the recent grim events.,1
8017,The conversation with my aunt was amazing.,3
2619,I made Amanda feel excited.,3
7134,Jack told us all about the recent dreadful events.,2
7835,The conversation with Katie was funny.,3
5471,this woman found herself in a threatening situation.,2
6738,my daughter told us all about the recent wonderful events.,3
8049,The conversation with Lamar was gloomy.,1
1144,my father feels annoyed.,0
5740,Alphonse found himself in a irritating situation.,0
1221,The situation makes Latisha feel furious.,0
3001,I made Lamar feel furious.,0
2963,I made my aunt feel enraged.,0
7861,The conversation with this woman was vexing.,0
3751,Nichelle made me feel discouraged.,2
6913,Jamel told us all about the recent shocking events.,2
4708,my husband made me feel miserable.,1
4596,Frank made me feel ecstatic.,3
8420,The conversation with Frank was irritating.,0
1690,The situation makes my daughter feel terrified.,2
3814,Amanda made me feel fearful.,2
3737,Lakisha made me feel glad.,3
2954,I made my mother feel fearful.,2
3758,Nichelle made me feel relieved.,3
1617,The situation makes her feel glad.,3
5706,Jamel found himself in a serious situation.,1
2006,The situation makes Adam feel depressed.,1
672,Jamel feels scared.,2
1014,he feels fearful.,2
789,Jerome feels disappointed.,1
6666,this woman told us all about the recent serious events.,1
5305,Nancy found herself in a depressing situation.,1
4629,this man made me feel disappointed.,1
666,Jamel feels depressed.,1
1431,The situation makes Heather feel discouraged.,2
3037,I made Malik feel glad.,3
4688,my son made me feel miserable.,1
5698,Alonzo found himself in a wonderful situation.,3
7431,my dad told us all about the recent threatening events.,2
6115,my brother found himself in a funny situation.,3
2934,I made my girlfriend feel fearful.,2
1997,The situation makes Jerome feel glad.,3
6782,my mother told us all about the recent outrageous events.,0
6467,Heather told us all about the recent grim events.,1
4526,Josh made me feel depressed.,1
5820,Jerome found himself in a irritating situation.,0
7140,Alan told us all about the recent irritating events.,0
4483,Jack made me feel enraged.,0
5905,Justin found himself in a depressing situation.,1
7737,The conversation with Betsy was amazing.,3
1845,The situation makes Alonzo feel sad.,1
2666,I made Nancy feel depressed.,1
2811,I made her feel discouraged.,2
3454,I made this boy feel fearful.,2
222,Heather feels irritated.,0
2194,The situation makes Frank feel fearful.,2
5450,she found herself in a horrible situation.,2
3820,Heather made me feel angry.,0
6052,he found himself in a terrifying situation.,2
6957,Alphonse told us all about the recent amazing events.,3
3877,Nancy made me feel glad.,3
872,Justin feels scared.,2
6570,Melanie told us all about the recent horrible events.,2
2450,I made Jasmine feel terrified.,2
363,Courtney feels enraged.,0
2631,I made Heather feel discouraged.,2
3090,I made Leroy feel terrified.,2
1596,The situation makes Katie feel ecstatic.,3
2737,I made Melanie feel glad.,3
4135,my girlfriend made me feel happy.,3
3512,I made my husband feel scared.,2
4001,she made me feel furious.,0
3089,I made Leroy feel disappointed.,1
6714,my sister told us all about the recent dreadful events.,2
1843,The situation makes Alonzo feel enraged.,0
5175,Lakisha found herself in a funny situation.,3
7983,The conversation with my mother was annoying.,0
955,Roger feels happy.,3
3148,I made Torrance feel miserable.,1
6273,Latisha told us all about the recent shocking events.,2
1015,he feels happy.,3
6229,my dad found himself in a gloomy situation.,1
2560,I made Shereen feel angry.,0
3925,Melanie made me feel sad.,1
8470,The conversation with this man was horrible.,2
410,she feels terrified.,2
264,Nancy feels annoyed.,0
4569,Ryan made me feel disappointed.,1
83,Shaniqua feels enraged.,0
6925,Leroy told us all about the recent depressing events.,1
6344,Tia told us all about the recent displeasing events.,0
7099,Harry told us all about the recent great events.,3
8230,The conversation with Jerome was horrible.,2
2074,The situation makes Justin feel fearful.,2
5597,my mother found herself in a amazing situation.,3
3887,Betsy made me feel devastated.,1
6065,this man found himself in a depressing situation.,1
779,Darnell feels excited.,3
6126,my son found himself in a serious situation.,1
5570,my girlfriend found herself in a horrible situation.,2
6271,Latisha told us all about the recent threatening events.,2
3360,I made Ryan feel angry.,0
7199,Roger told us all about the recent great events.,3
1419,The situation makes Amanda feel excited.,3
5651,Lamar found himself in a threatening situation.,2
5560,my girlfriend found herself in a irritating situation.,0
8472,The conversation with this man was terrifying.,2
3716,Tia made me feel ecstatic.,3
7275,this man told us all about the recent funny events.,3
939,Josh feels excited.,3
3061,I made Jamel feel furious.,0
3420,I made this man feel angry.,0
681,Leroy feels furious.,0
2584,I made Tanisha feel annoyed.,0
3222,I made Andrew feel irritated.,0
217,Amanda feels glad.,3
7185,Roger told us all about the recent depressing events.,1
5941,Alan found himself in a vexing situation.,0
6152,my husband found himself in a terrifying situation.,2
3770,Shereen made me feel terrified.,2
8626,The conversation with my dad was serious.,1
1646,The situation makes this girl feel depressed.,1
1812,The situation makes Lamar feel scared.,2
1625,The situation makes this woman feel sad.,1
6203,my uncle found himself in a annoying situation.,0
7670,The conversation with Heather was horrible.,2
3335,I made Josh feel happy.,3
4229,Malik made me feel disappointed.,1
5542,my wife found herself in a outrageous situation.,0
4124,my girlfriend made me feel annoyed.,0
1119,my husband feels excited.,3
6713,my sister told us all about the recent shocking events.,2
5812,Darnell found himself in a terrifying situation.,2
7653,The conversation with Amanda was shocking.,2
2795,I made Katie feel happy.,3
3568,I made my uncle feel miserable.,1
2128,The situation makes Josh feel miserable.,1
4183,my mom made me feel enraged.,0
4139,my girlfriend made me feel excited.,3
1955,The situation makes Torrance feel happy.,3
2143,The situation makes Roger feel enraged.,0
6487,Kristin told us all about the recent grim events.,1
7583,The conversation with Nichelle was annoying.,0
1093,my son feels anxious.,2
651,Alonzo feels discouraged.,2
1482,The situation makes Betsy feel irritated.,0
1526,The situation makes Melanie feel depressed.,1
2798,I made Katie feel relieved.,3
2532,I made Lakisha feel scared.,2
2289,The situation makes my son feel disappointed.,1
2107,The situation makes Alan feel devastated.,1
5751,Alphonse found himself in a threatening situation.,2
6138,my son found himself in a wonderful situation.,3
334,Melanie feels fearful.,2
463,my sister feels enraged.,0
2392,The situation makes my dad feel scared.,2
1956,The situation makes Torrance feel ecstatic.,3
4449,Harry made me feel disappointed.,1
1529,The situation makes Melanie feel disappointed.,1
3889,Betsy made me feel disappointed.,1
3582,I made my dad feel irritated.,0
7831,The conversation with Katie was threatening.,2
1407,The situation makes Amanda feel devastated.,1
5224,Tanisha found herself in a displeasing situation.,0
8021,The conversation with my mom was vexing.,0
820,Andrew feels angry.,0
4018,she made me feel relieved.,3
3660,Latoya made me feel angry.,0
479,my sister feels excited.,3
3752,Nichelle made me feel scared.,2
1179,my uncle feels excited.,3
5981,Roger found himself in a vexing situation.,0
2600,I made Amanda feel angry.,0
6055,he found himself in a funny situation.,3
8215,The conversation with Darnell was funny.,3
7251,he told us all about the recent threatening events.,2
3673,Latoya made me feel anxious.,2
4428,Andrew made me feel miserable.,1
8286,The conversation with Harry was serious.,1
2576,I made Shereen feel ecstatic.,3
5513,my sister found herself in a shocking situation.,2
2827,I made this woman feel devastated.,1
1450,The situation makes Kristin feel terrified.,2
8563,The conversation with my boyfriend was annoying.,0
6039,Frank found himself in a great situation.,3
7968,The conversation with my girlfriend was heartbreaking.,1
2145,The situation makes Roger feel sad.,1
6421,Tanisha told us all about the recent vexing events.,0
7495,The conversation with Jasmine was funny.,3
8102,The conversation with Jamel was outrageous.,0
1215,The situation makes Ebony feel happy.,3
127,Lakisha feels devastated.,1
4462,Justin made me feel irritated.,0
5403,Courtney found herself in a annoying situation.,0
4076,my sister made me feel ecstatic.,3
5489,this girl found herself in a gloomy situation.,1
966,Ryan feels depressed.,1
133,Lakisha feels anxious.,2
3511,I made my husband feel discouraged.,2
2309,The situation makes my husband feel disappointed.,1
7790,The conversation with Stephanie was horrible.,2
2915,I made my wife feel happy.,3
2146,The situation makes Roger feel depressed.,1
4222,Malik made me feel irritated.,0
7654,The conversation with Amanda was dreadful.,2
355,Stephanie feels happy.,3
5746,Alphonse found himself in a serious situation.,1
2906,I made my wife feel depressed.,1
6118,my brother found himself in a wonderful situation.,3
2646,I made Kristin feel depressed.,1
765,Darnell feels sad.,1
3312,I made Alan feel scared.,2
2391,The situation makes my dad feel discouraged.,2
2484,I made Shaniqua feel annoyed.,0
1868,The situation makes Jamel feel miserable.,1
5795,Torrance found himself in a funny situation.,3
5106,Latoya found herself in a serious situation.,1
8522,The conversation with my son was outrageous.,0
7284,this boy told us all about the recent displeasing events.,0
5884,Harry found himself in a displeasing situation.,0
2638,I made Heather feel relieved.,3
5832,Jerome found himself in a terrifying situation.,2
5717,Jamel found himself in a amazing situation.,3
5709,Jamel found himself in a gloomy situation.,1
2182,The situation makes Frank feel irritated.,0
3811,Amanda made me feel discouraged.,2
2961,I made my aunt feel furious.,0
731,Terrence feels discouraged.,2
8450,The conversation with his was horrible.,2
2272,The situation makes my brother feel scared.,2
6236,my dad found himself in a hilarious situation.,3
5195,Nichelle found herself in a funny situation.,3
1553,The situation makes Stephanie feel anxious.,2
5786,Torrance found himself in a serious situation.,1
3815,Amanda made me feel happy.,3
5272,Heather found herself in a terrifying situation.,2
1706,The situation makes my wife feel depressed.,1
6500,Nancy told us all about the recent irritating events.,0
4706,my husband made me feel depressed.,1
1791,The situation makes my mom feel discouraged.,2
3993,Katie made me feel anxious.,2
3349,I made Roger feel disappointed.,1
7919,The conversation with my sister was great.,3
1147,my father feels devastated.,1
1707,The situation makes my wife feel devastated.,1
6424,Tanisha told us all about the recent displeasing events.,0
3561,I made my uncle feel furious.,0
7993,The conversation with my mother was shocking.,2
6905,Jamel told us all about the recent depressing events.,1
2012,The situation makes Adam feel scared.,2
7086,Harry told us all about the recent serious events.,1
2028,The situation makes Andrew feel miserable.,1
4238,Malik made me feel relieved.,3
3931,Melanie made me feel discouraged.,2
6058,he found himself in a wonderful situation.,3
3650,Jasmine made me feel terrified.,2
7260,this man told us all about the recent irritating events.,0
7341,my husband told us all about the recent vexing events.,0
3306,I made Alan feel depressed.,1
1802,The situation makes Lamar feel irritated.,0
2579,I made Shereen feel excited.,3
7245,he told us all about the recent depressing events.,1
5875,Andrew found himself in a funny situation.,3
8150,The conversation with Alphonse was horrible.,2
2324,The situation makes my boyfriend feel annoyed.,0
1329,The situation makes Lakisha feel disappointed.,1
6597,Stephanie told us all about the recent amazing events.,3
7189,Roger told us all about the recent gloomy events.,1
2913,I made my wife feel anxious.,2
2557,I made Nichelle feel glad.,3
1197,my dad feels glad.,3
822,Andrew feels irritated.,0
3605,Ebony made me feel sad.,1
6574,Melanie told us all about the recent dreadful events.,2
3992,Katie made me feel scared.,2
5676,Malik found himself in a hilarious situation.,3
5667,Malik found himself in a grim situation.,1
7158,Alan told us all about the recent wonderful events.,3
1593,The situation makes Katie feel anxious.,2
40,Jasmine feels angry.,0
8441,The conversation with his was vexing.,0
6306,Latoya told us all about the recent serious events.,1
6920,Leroy told us all about the recent irritating events.,0
3013,I made Lamar feel anxious.,2
8590,The conversation with my father was horrible.,2
4367,Darnell made me feel devastated.,1
2282,The situation makes my son feel irritated.,0
8622,The conversation with my dad was outrageous.,0
261,Nancy feels furious.,0
3121,I made Terrence feel furious.,0
374,Courtney feels fearful.,2
5621,my mom found herself in a vexing situation.,0
3923,Melanie made me feel enraged.,0
3198,I made Jerome feel relieved.,3
5233,Tanisha found herself in a shocking situation.,2
5669,Malik found himself in a gloomy situation.,1
7631,The conversation with Tanisha was threatening.,2
826,Andrew feels depressed.,1
5366,Melanie found herself in a serious situation.,1
1322,The situation makes Lakisha feel irritated.,0
495,my daughter feels happy.,3
5078,Latisha found herself in a wonderful situation.,3
6363,Lakisha told us all about the recent annoying events.,0
5939,Jack found himself in a great situation.,3
550,my mother feels terrified.,2
117,Tia feels glad.,3
6650,she told us all about the recent horrible events.,2
2555,I made Nichelle feel happy.,3
608,Lamar feels miserable.,1
4764,my uncle made me feel annoyed.,0
4280,Leroy made me feel angry.,0
5235,Tanisha found herself in a funny situation.,3
6881,Alonzo told us all about the recent vexing events.,0
2494,I made Shaniqua feel fearful.,2
7167,Josh told us all about the recent grim events.,1
3430,I made this man feel terrified.,2
7296,this boy told us all about the recent hilarious events.,3
1081,my son feels furious.,0
352,Stephanie feels scared.,2
2319,The situation makes my husband feel excited.,3
4768,my uncle made me feel miserable.,1
8064,The conversation with Malik was displeasing.,0
7852,The conversation with her was terrifying.,2
2378,The situation makes my uncle feel relieved.,3
5645,Lamar found himself in a depressing situation.,1
1022,this man feels irritated.,0
3154,I made Torrance feel fearful.,2
8388,The conversation with Roger was heartbreaking.,1
881,Jack feels furious.,0
5141,Tia found herself in a vexing situation.,0
7344,my husband told us all about the recent displeasing events.,0
462,my sister feels irritated.,0
6635,Katie told us all about the recent funny events.,3
1771,The situation makes my aunt feel discouraged.,2
1266,The situation makes Latoya feel depressed.,1
7765,The conversation with Melanie was depressing.,1
4307,Alphonse made me feel devastated.,1
7851,The conversation with her was threatening.,2
4174,my aunt made me feel fearful.,2
6047,he found himself in a grim situation.,1
6207,my uncle found himself in a grim situation.,1
1341,The situation makes Nichelle feel furious.,0
6095,this boy found himself in a funny situation.,3
6606,Courtney told us all about the recent serious events.,1
6583,Stephanie told us all about the recent annoying events.,0
6645,she told us all about the recent depressing events.,1
8259,The conversation with Adam was great.,3
1372,The situation makes Shereen feel scared.,2
105,Tia feels sad.,1
5422,Katie found herself in a outrageous situation.,0
3709,Tia made me feel disappointed.,1
3555,I made my father feel happy.,3
508,my wife feels miserable.,1
1953,The situation makes Torrance feel anxious.,2
3975,Courtney made me feel happy.,3
3033,I made Malik feel anxious.,2
791,Jerome feels discouraged.,2
8144,The conversation with Alphonse was displeasing.,0
3681,Shaniqua made me feel furious.,0
2385,The situation makes my dad feel sad.,1
8535,The conversation with my son was funny.,3
1961,The situation makes Darnell feel furious.,0
5337,Betsy found herself in a amazing situation.,3
2668,I made Nancy feel miserable.,1
4042,this girl made me feel irritated.,0
4343,Torrance made me feel enraged.,0
4250,Alonzo made me feel terrified.,2
248,Kristin feels miserable.,1
4217,Lamar made me feel glad.,3
8431,The conversation with Frank was threatening.,2
2977,I made my aunt feel glad.,3
22,Latisha feels irritated.,0
79,Latoya feels excited.,3
6785,my mother told us all about the recent depressing events.,1
4564,Ryan made me feel annoyed.,0
1343,The situation makes Nichelle feel enraged.,0
2764,I made Courtney feel annoyed.,0
6198,my father found himself in a wonderful situation.,3
5381,Stephanie found herself in a vexing situation.,0
4026,this woman made me feel depressed.,1
2015,The situation makes Adam feel happy.,3
3224,I made Andrew feel annoyed.,0
4395,Jerome made me feel happy.,3
2751,I made Stephanie feel discouraged.,2
4236,Malik made me feel ecstatic.,3
8528,The conversation with my son was heartbreaking.,1
7152,Alan told us all about the recent terrifying events.,2
3872,Nancy made me feel scared.,2
7159,Alan told us all about the recent great events.,3
4169,my aunt made me feel disappointed.,1
1769,The situation makes my aunt feel disappointed.,1
44,Jasmine feels annoyed.,0
4178,my aunt made me feel relieved.,3
5925,Jack found himself in a depressing situation.,1
8402,The conversation with Ryan was outrageous.,0
3186,I made Jerome feel depressed.,1
8199,The conversation with Torrance was great.,3
7,Ebony feels devastated.,1
1920,The situation makes Terrence feel angry.,0
6098,this boy found himself in a wonderful situation.,3
4085,my daughter made me feel sad.,1
4388,Jerome made me feel miserable.,1
3136,I made Terrence feel ecstatic.,3
2206,The situation makes his feel depressed.,1
1600,The situation makes her feel angry.,0
4066,my sister made me feel depressed.,1
3522,I made my boyfriend feel irritated.,0
8600,The conversation with my uncle was irritating.,0
2292,The situation makes my son feel scared.,2
4151,my mother made me feel discouraged.,2
3734,Lakisha made me feel fearful.,2
4116,my wife made me feel ecstatic.,3
2488,I made Shaniqua feel miserable.,1
101,Tia feels furious.,0
1006,he feels depressed.,1
6890,Alonzo told us all about the recent horrible events.,2
5391,Stephanie found herself in a threatening situation.,2
2122,The situation makes Josh feel irritated.,0
8172,The conversation with Terrence was terrifying.,2
964,Ryan feels annoyed.,0
3884,Betsy made me feel annoyed.,0
404,she feels annoyed.,0
3844,Kristin made me feel annoyed.,0
213,Amanda feels anxious.,2
6218,my uncle found himself in a wonderful situation.,3
1385,The situation makes Tanisha feel sad.,1
5731,Leroy found himself in a threatening situation.,2
1019,he feels excited.,3
4765,my uncle made me feel sad.,1
2899,I made my daughter feel excited.,3
1626,The situation makes this woman feel depressed.,1
2209,The situation makes his feel disappointed.,1
2806,I made her feel depressed.,1
7486,The conversation with Jasmine was serious.,1
4224,Malik made me feel annoyed.,0
2187,The situation makes Frank feel devastated.,1
2515,I made Tia feel happy.,3
8106,The conversation with Jamel was serious.,1
3438,I made this man feel relieved.,3
4100,my wife made me feel angry.,0
8574,The conversation with my boyfriend was dreadful.,2
517,my wife feels glad.,3
7972,The conversation with my girlfriend was terrifying.,2
641,Alonzo feels furious.,0
5770,Terrence found himself in a horrible situation.,2
3444,I made this boy feel annoyed.,0
646,Alonzo feels depressed.,1
823,Andrew feels enraged.,0
4619,he made me feel excited.,3
5098,Jasmine found herself in a wonderful situation.,3
841,Harry feels furious.,0
3735,Lakisha made me feel happy.,3
7372,my boyfriend told us all about the recent terrifying events.,2
6321,Shaniqua told us all about the recent vexing events.,0
375,Courtney feels happy.,3
2461,I made Latoya feel furious.,0
3539,I made my boyfriend feel excited.,3
4690,my son made me feel terrified.,2
4131,my girlfriend made me feel discouraged.,2
1922,The situation makes Terrence feel irritated.,0
2235,The situation makes this man feel happy.,3
578,my aunt feels relieved.,3
4606,he made me feel depressed.,1
6290,Jasmine told us all about the recent horrible events.,2
8094,The conversation with Alonzo was dreadful.,2
1907,The situation makes Alphonse feel devastated.,1
5163,Lakisha found herself in a annoying situation.,0
4607,he made me feel devastated.,1
7545,The conversation with Tia was depressing.,1
8549,The conversation with my husband was gloomy.,1
8325,The conversation with Jack was depressing.,1
1355,The situation makes Nichelle feel happy.,3
7211,Ryan told us all about the recent threatening events.,2
1598,The situation makes Katie feel relieved.,3
100,Tia feels angry.,0
3460,I made my brother feel angry.,0
1353,The situation makes Nichelle feel anxious.,2
3686,Shaniqua made me feel depressed.,1
2882,I made my daughter feel irritated.,0
8141,The conversation with Alphonse was vexing.,0
809,Adam feels disappointed.,1
276,Nancy feels ecstatic.,3
6089,this boy found himself in a gloomy situation.,1
3546,I made my father feel depressed.,1
8148,The conversation with Alphonse was heartbreaking.,1
6195,my father found himself in a funny situation.,3
2793,I made Katie feel anxious.,2
1016,he feels ecstatic.,3
1055,this boy feels happy.,3
2262,The situation makes my brother feel irritated.,0
8250,The conversation with Adam was horrible.,2
8349,The conversation with Alan was gloomy.,1
4796,my dad made me feel ecstatic.,3
3730,Lakisha made me feel terrified.,2
4349,Torrance made me feel disappointed.,1
833,Andrew feels anxious.,2
8461,The conversation with this man was vexing.,0
7162,Josh told us all about the recent outrageous events.,0
6579,Melanie told us all about the recent great events.,3
1641,The situation makes this girl feel furious.,0
2879,I made my sister feel excited.,3
7181,Roger told us all about the recent vexing events.,0
251,Kristin feels discouraged.,2
130,Lakisha feels terrified.,2
3402,I made his feel irritated.,0
6661,this woman told us all about the recent vexing events.,0
652,Alonzo feels scared.,2
8037,The conversation with my mom was amazing.,3
6869,Malik told us all about the recent gloomy events.,1
7725,The conversation with Betsy was depressing.,1
7560,The conversation with Lakisha was irritating.,0
294,Betsy feels fearful.,2
4772,my uncle made me feel scared.,2
1275,The situation makes Latoya feel happy.,3
896,Jack feels ecstatic.,3
6754,my wife told us all about the recent dreadful events.,2
829,Andrew feels disappointed.,1
4482,Jack made me feel irritated.,0
4530,Josh made me feel terrified.,2
6059,he found himself in a great situation.,3
1052,this boy feels scared.,2
4099,my daughter made me feel excited.,3
1736,The situation makes my girlfriend feel ecstatic.,3
112,Tia feels scared.,2
3991,Katie made me feel discouraged.,2
1408,The situation makes Amanda feel miserable.,1
1983,The situation makes Jerome feel enraged.,0
6489,Kristin told us all about the recent gloomy events.,1
3290,I made Jack feel terrified.,2
7700,The conversation with Nancy was irritating.,0
8566,The conversation with my boyfriend was serious.,1
1755,The situation makes my mother feel happy.,3
298,Betsy feels relieved.,3
7132,Jack told us all about the recent terrifying events.,2
5690,Alonzo found himself in a horrible situation.,2
2014,The situation makes Adam feel fearful.,2
1363,The situation makes Shereen feel enraged.,0
1029,this man feels disappointed.,1
8200,The conversation with Darnell was irritating.,0
6699,this girl told us all about the recent great events.,3
4474,Justin made me feel fearful.,2
4201,Lamar made me feel furious.,0
3890,Betsy made me feel terrified.,2
441,this girl feels furious.,0
2566,I made Shereen feel depressed.,1
7448,The conversation with Ebony was heartbreaking.,1
7391,my father told us all about the recent threatening events.,2
2192,The situation makes Frank feel scared.,2
1720,The situation makes my girlfriend feel angry.,0
1288,The situation makes Shaniqua feel miserable.,1
7532,The conversation with Shaniqua was terrifying.,2
1724,The situation makes my girlfriend feel annoyed.,0
6040,he found himself in a irritating situation.,0
2444,I made Jasmine feel annoyed.,0
3195,I made Jerome feel happy.,3
8057,The conversation with Lamar was amazing.,3
902,Alan feels irritated.,0
5574,my girlfriend found herself in a dreadful situation.,2
2736,I made Melanie feel ecstatic.,3
7309,my brother told us all about the recent gloomy events.,1
2991,I made my mom feel discouraged.,2
8510,The conversation with my brother was horrible.,2
5765,Terrence found himself in a depressing situation.,1
5453,she found herself in a shocking situation.,2
6632,Katie told us all about the recent terrifying events.,2
8342,The conversation with Alan was outrageous.,0
928,Josh feels miserable.,1
2862,I made my sister feel irritated.,0
4180,my mom made me feel angry.,0
5412,Courtney found herself in a terrifying situation.,2
8311,The conversation with Justin was threatening.,2
5924,Jack found himself in a displeasing situation.,0
2072,The situation makes Justin feel scared.,2
4626,this man made me feel depressed.,1
6941,Alphonse told us all about the recent vexing events.,0
4230,Malik made me feel terrified.,2
5375,Melanie found herself in a funny situation.,3
7857,The conversation with her was amazing.,3
6926,Leroy told us all about the recent serious events.,1
6073,this man found himself in a shocking situation.,2
8581,The conversation with my father was vexing.,0
7867,The conversation with this woman was grim.,1
7066,Andrew told us all about the recent serious events.,1
559,my mother feels excited.,3
6739,my daughter told us all about the recent great events.,3
2916,I made my wife feel ecstatic.,3
1256,The situation makes Jasmine feel ecstatic.,3
3920,Melanie made me feel angry.,0
3358,I made Roger feel relieved.,3
5718,Jamel found himself in a wonderful situation.,3
4448,Harry made me feel miserable.,1
541,my mother feels furious.,0
