text,label,majority,minority,data augmentation
"
More to the point there is a deep hypocrisy",0,False,False,there is more of a deep hypocrisy to this whole thing
"

And are you concerned with just black lives",0,False,False,and are you concerned about the life of the black people?
All NDP  failures were bestowed unto Mike Harris,0,False,False,all failures of the ndp were given to mike harris
"
These people are dirty lying rotten scoundrels who operate like this 24/7
yet the dishonest media winks it's eye and turns it head as if nothing ever happened",1,False,False,These people are dirty lying rotten scoundrels who operate like this 24/7 yet the dishonest media winks its eye and turns it head as if nothing ever happened
If they are truly called to celibacy I don't believe they would even bother with sexual behavior of others and fully devote themselves into some type of worthwhile ministry-- ministry to the poor for example,1,False,False,if they are called to celibacy i don't think they would even bother with the sexual behavior of others and fully devote themselves to some kind of worthwhile ministry
If u want a quick lesson in how it feels to be black live in Hiwaii Whatbdo u think Haoles means N----- n don't forgot,1,False,False,if you want to know how it feels to be black in hiwaii whatbdo you think haoles means n ----- n don't forget about
"Nevertheless, Tri Met's rail building and rail car lease-backs are what keeps them looking solvent",0,False,False,but tri mets' rail building and car lease-backs are what keeps them solvent
"Since this idiotic country put Trump in the White House, we basically gave these nut jobs a green light to follow his lead harassing and intimidating people",1,False,False,since trump became president this idiotic country has basically given these people a green light to follow his lead of harassment and intimidation of people
Are traditional Catholic mothers not private figures,0,False,False,are catholic mothers not private figures?
And there are also examples of racism among black and Asian groups,0,False,False,there are also examples of racism among black and asian groups
"is NO GOOD

But hating anything to do with men or boys, Conservatives, religious people, anyone who did not bow down to Hillary, is perfectly fine for you to be prejudiced against, insult, smear and gossip about",1,False,False,no good but hating anything to do with men or boys conservatives religious people anyone who does not bow down to hillary is perfectly fine for you to be prejudiced against insult smear
"
Just like every Muslim lover ( since you qualify haters, there must be the opposite - lovers, right) has their own word of the day",1,False,False,like every muslim lover since you qualify as haters there must be the opposite - lovers right has its own word of the day
Are there black people addicted to heroin dying in prison in Alaska,0,False,False,are there any black people who are addicted to heroin in alaska?
This women has all the stupid that a person needs for a lifetime,1,False,False,this lady is stupid enough to need all your life
"

Where did the pastor say that banks and jewelry stores should not let gay people in the door and should refuse to do business with gay people",1,False,False,what did the pastor say about banks and jewelry shops that should not let gay people in the door and should refuse to do business with homosexuals?
Who is the enemy that we kill,1,False,False,who are the enemies we kill?
"Exactly, people just play the blame game for thier mental numbness",1,False,False,most of the time people just try to blame someone for their mental numbness
"What a  malicious, and vindictive  nasty piece of work this woman is",1,True,False,what a cruel and malicious effort she's done
Our President has doubled down on racism by persecuting black player's peaceful protest,1,False,False,our president has doubled down on racism by persecuting black players peaceful protests peaceful protests
A guy who took bribes from a guy who was having sex with an under age Native Girl,1,False,False,a guy who took bribes from a guy having sex with a native girl under 18
All of Alaska leaders will there to kiss his rear-end,1,False,False,all of the leaders of alaska will take his tail-end
"Resolutions, sanctions, long boring speeches",0,False,False,resolutions sanction long boring speeches
"



(Response to comment on rail)  ""Exactly",1,False,False,response to the comment about rail exactly
"Don't get me wrong, I love having sex with my wife and part of that is because I love her,  But having sex with her is not a matter of showing my love for her",1,False,False,i love having sex with my wife part of that is because i love her but having sex with her is not a matter of showing my love
Sounds like he remembers a lot and he certainly didn't black out or he wouldn't have been able to give such an accurate description of his horrible actions,0,False,False,sounds like he remembers a lot and he certainly didn't black out or he wouldn't have been able to give such an exact description
Along with a black friend Dr,1,False,False,together with a black friend dr
"Racists, non-racists, Native Americans, and Africans fought for the CSA",0,False,False,nan - americans native americans and africans - racists non-racists fought for the csa
Here you are now trying to run your corrupt bullshit game on him some more,1,False,False,you have now tried to play your game of corrupt bullshit on him again
"Shane is too worried about saving his own ass, what a POS",1,False,False,shane is too concerned about saving his own ass what a pos job it has
They will put aside their religious  differences so they can  to kill us together,1,False,False,they'll put aside their religious differences to kill us together
Taking the life of a sentient and defenseless creature solely for the JOY OF KILLING,0,False,False,solely for the pleasure of killing a sentient and defenseless creature
"So hey, Leah, why don't you write about your indignation of the new left-wing fascist violence upon anything right-wing or Trump",0,False,False,so hey leah why don't you write about your disgust at the new left-wing fascist violence against anything right-wing
"As a lifelong Atheist, I think praying is a waste of time the spaghetti monster REALLY doesn't care how bad us human crap foul ourselves",0,False,False,as a lifelong atheist i think praying is a waste of time the spaghetti monster really doesn't care how bad we human crap
"Now these same ooga booga tribalists, racists, violent authoritarians are doing to Americans and their democratic institutions what they've been doing to American women for 25+ years",0,False,False,these same ooga booga tribalists racists violent authoritarians are doing what theyve been doing for 25 years to american women
"as for the economics those with the green cards etc that have the right to work etc are not stopped thus no company is put out,, YOU are the ignorant racist narrow minded of the left that needs serious help",1,True,False,as for economics those with green cards and green cards have the right to work and no company is going to be lost
"The current trend is to use Islam, and it's effective, since there are many Muslim countries that have a right to be ticked off",0,False,False,the current trend is to use islam and its effectiveness since there are many muslim countries that have the right to be ticked off by islam
"
In other news:
Trump continues to shore up his racist base by dropping more racial dog whistles",1,False,False,trump continues to shore up his racist base by dropping more racist dog whistles
"I did not ""hold only the woman as accountable ""

I said four (4) hours ago:  ""When two sluts fornicate without simple, cheap, readily available contraception (supposedly from Planned Parenthood) unwanted children are often the result",1,False,False,i didn't hold only the woman accountable that's where he went in many cases unwanted children result when two sluts fornicate without simple cheap readily available contraception supposedly from planned parenthood
"

Muslims believe that Jesus existed but did not die on the cross",0,False,False,muslims believe jesus was alive but did not die on the cross
Anyone who defends the wearing of this niqab is essentially defending the Wahhabi sect in Saudi Arabia which demands that women wear this (most other forms of Islam don't enforce this),0,False,False,anyone who defends the wearing of this niqab is basically defending the wahhabi sect in saudi arabia which demands that women wear this most other forms
so for the rest of time white people have to be reminded that they are oppressing blacks,1,False,False,for the rest of the time we have to remind white people that they oppress blacks
HIS small white penis is showing,1,False,False,his penis is showing the smallest color
He's a muslim Barry  man and that is nothing but bad news,0,False,False,he's a muslim barry man and it's all bad news
"And if I was Muslim I'd even convert if that's what it took""

Get back to us if you ever decide to convert to Islam in order to hike in the deserts of the Middle East or North Africa",0,False,False,and if i was muslim i would even convert if thats what it took get back to us if you decide to convert to islam in order to hike in the deserts of the middle east or north africa
YOU ARE HOLDING THE USA BACK WITH GARBAGE LIKE THIS,1,False,False,you hold the usa back with garbage like that
"It might work against a black bear, but I wouldn't count on it",0,False,False,it could work against a black bear but i wouldn't rely on it
It's a wonder that you radical (stupid) right always refer back to Hillary and Obama,1,False,False,is it a wonder that you radical right have always referred to hillary and obama?
"
Questions for U:
Will unregulated Muslim immigration solve this long violent conflict",0,False,False,is unregulated muslim immigration a solution to the long violent conflict between muslims and muslims?
There isn't always sexual reproduction -- many species have asexual reproduction,0,False,False,there's not always a sexual reproduction -- many species have an asexual reproduction
Stupid attracts stupid and the devil laughs,1,False,False,stupid attracts stupid and the devil laughs
"

Regarding Islam, both sides are hampered by profound ignorance",1,False,False,both sides in the debate on islam are affected by a profound ignorance of the facts
"Second, protests were held across the globe adding hundreds of thousands of others in addition to those in Washington",0,False,False,in addition to the protests in washington several other protests took place in other nations
Typical left wing media crap,1,False,False,typical left wing media scum
Neither of those statements are racist whatsoever,1,False,False,both statements are not racist
I know that early efforts by some of the Corporations to harvest timber and sell it for quick dividends for the shareholders led to thousands of acres logged and sold below market prices,0,False,False,i know that early efforts by some of the corporations to harvest and sell timber led to thousands of acres logged and sold below market prices for shareholders
"I am grateful too that technology had not yet been invented to anonymously provide mean-spirited comments about my age, personal interests and mental acuity",0,False,False,i'm thankful to have not yet invented technology to anonymously provide mean-spirited comments about my age personal interests and mental acuity
"

This isn't a debate about wether or not we should allow sexual predators into bathrooms, it's about accepting that some people actually ARE transgender and have the right to live a lifestyle that matches their sexual identity",1,False,False,it's not a debate about wether we should allow sexual predators into bathrooms its about accepting that some people actually are transgender and have the right to live a
"It's the Republicans, Trump being a Republican, who are against gays",0,False,False,trump being a republican against gays is what trump is against
"Murdering unarmed black people may be part of white America's patriotic heritage, but it violates the Constitutional rights of the dead and their loved ones, in the 21st century",1,True,False,murdering unarmed black people may be part of white americas patriotic heritage but in the 21st century it violates the constitutional rights of the dead and the relatives
(in which this author represented the muslim woman),0,False,False,whose author represented a muslim woman
"If you vote for a racist, whether or not you espouse racism personally--you're still a racist",1,False,False,if you vote for a racist regardless of whether or not you personally espouse racist views -- you still are a racist
"This is a very RISKY,  DICEY and IGNORANT decision on your part",0,False,False,this is a very very risky dicey decision on your part and a very ignorant decision
And gay men who are inclined to commit deviant behavior with minors go where those minors are located,1,False,False,and gay men inclined to commit deviant behavior with minors go where these minors are located
It would be anti-productive to discuss only homosexuality since heterosexuals and how they judge their own sexuality falsely and harmfully effects how they judge the behaviors of homosexuals,0,False,True,it would be anti-productive to discuss only homosexuality since heterosexuals and how they judge their own sexuality affect how they judge homosexuals' conduct falsely and
It's pretty obvious that Cowardly Ryan still worships Ayn Rand,1,False,False,its pretty clear that cowardly ryan still adores ayn rand's
"50% of Canadians want illegal immigrants deported, does that make most Canadians Islamophobic, racist and/or bigoted",0,False,False,can you explain why they believe that 50 of canadians want illegal immigrants deported?
Mental illness can be complicated,0,False,False,mental illness can be complex
Good judgement by choosing a deer rather than a black motorist,1,False,False,good judgement choosing a deer instead of a black driver
The only person who says soldiers in coffins are a silly matter is you--in your letter above,1,False,False,the only person who says soldiers in coffins are a silly matter is you
"Yup pull the racist card you globalist jerk
Is that all you have",1,False,False,take out racism you globalist
I know many feminists who protest against sex-selection as a justification for an abortion even though they protect a woman's right to choose to terminate their pregnancies,0,False,False,i know many feminists who protest against sex selection as a justification for an abortion even though they protect a woman's right to terminate her
"Three times, they have tried to blow up Notre Dame in Paris",1,False,False,they tried three times to blow up notre dame in paris
"

There is a reason David Duke, the white nationalist, politician, antisemitic conspiracy theorist, Holocaust denier, convicted felon, and former Imperial Wizard of the Ku Klux Klan switched his party affiliation from Democrat to Republican",0,False,False,there's a reason david duke the white nationalist politician antisemitic conspiracy theorist holocaust denier former imperial wizard of the ku klux klan shifted his party affiliation from democrat to
"I have seen the good, the bad and the ugly of how workplaces/bosses treat women",0,False,False,i have seen the good the bad and the ugly of how the bosses treat women in companiesoffices
"Oscar Wilde said somewhere, ""One of the principal arguments against Christianity is the style of St",0,False,False,oscar wilde once said one of the main arguments against christianity is st paul's style
"You have no clue what the definition of narcissism is, nor do you have any clue what the definition of ""mental disorder"" is",1,False,False,you don't know what is narcissism and you don't know what is a mental disorder
"

But for those who still are in doubt:
- Gorka claims that violence is a ""fundamental"" part of Islam, conveniently ""forgetting"" to mention that the vast majority of Muslims are very peaceful",0,False,False,- gorka claims that violence is a fundamental part of islam but forgot to mention that the vast majority of muslims are very peaceful
You hit the narcissist squarely on the head,1,False,False,you hit the narcissist firmly
"or a scheming, robotic liar with a lifelong appetite for power and an entourage riddled with bigots",1,False,False,or a narcissistic robot liar with lifelong hunger for power and an entourage of bigots
"It has nothing to do with gender, age, race, sexual orientation, etc",0,False,False,it has nothing to do with age race sexual orientation etc
Just like racist comments are NOT acceptable,0,False,False,even racist comments are not acceptable
"Is it the same thing you find amusing about threatening another poster with genital mutilation, performed by yourself",1,False,False,if you attacked another poster for gin you performed it yourself is that the same thing you find amusing?
These arguments are embarrassingly stupid,1,False,False,these arguments are embrassingly stupid
"They believe in lesser government until it cuts into their profits or it involves women, minorities or gays",0,False,False,they believe in lesser government until it cuts into their profits or it involves minorities women or gays
Here's the truth to the ridiculous lies being sprouted here: They say heterosexuality is not hard-wired but transgenderism and homosexuality are,1,False,False,heres the truth to the lies sprouted here they say heterosexuality is not hardwired but transgenderism and homosexuality are 
It would be nice to see the same turn-out at marches against the killing of children/women in SA,0,False,False,it would be nice to see the same turnout for marches against the killing of children in sa
The Church leaders had spent months deciding to accept same-sex marriage and the ceremony celebrated both the particular wedding and the Church decision,0,False,False,the church leaders had spent months deciding to accept same-sex marriage and the ceremony reflected both the specific wedding and the church decision to support the
Another reality you don't want to recognize,0,False,False,another reality you don't want to admit
They are protesting innocent black men being murdered by police,1,False,False,they are protesting against killings by police of innocent black men
And they will somehow blame me for their stupidity,1,False,False,and they will blame me for their stupidity somehow
"

Back in the 80's, it was acceptance of gays",0,False,False,it was acceptance of gays back in the 80s
"
PC Premier William Davis extended the funding of the Roman Catholic school board to Grade 13",0,False,False,the premier of pc william davis extended the funding of the roman catholic school board to grade 13 students
Real solutions instead of this racist banter against Alaska Native People,0,False,False,real solutions instead of racism against alaskans
"All those first responders , those police and fire department men and women were idiots in his mind , dying for a imperialist racist country",1,False,False,all the first responders the firefighters and policemen men and women were in his mind idiots dying for an imperialist racist country
"Since our corrupt and incompetent governments are screwing every man, woman and child in Canada up the you know what, to remain inside the law, they need to remove age restrictions around anal intercourse",1,False,False,since our corrupt and incompetent governments are screwing every man woman and child in canada you know what they need to remove age restrictions around anal intercourse
"I don't think all of Christianity is bad because the Bible says to kill gays, or because the Phelps Church is terrible",0,False,False,i dont think christian christianity is bad because the bible says that he should kill gays or because phelps is a terrible church
The only sexual act that was not a sin was sex between a man and a woman united in holy Matrimony,0,False,False,the only sexual act not a sin was sex between man and woman united in sacred marriage
I didn't have to wait until the afternoon for the G&M daily front-page story about muslims,0,False,False,i didn't have to wait till the afternoon for the daily front-page story about muslims from the gm
"When it's a white christian we call them crazy and a-political, when they're not we call them ""terrorists"" or ""religious fanatics""",1,False,False,when it comes to a white christian we call them crazy and a-political when they are not we call them terrorists or religious fanatics
"As I mentioned in an earlier post, I have two low income people with mental illness that I helped, and they were delayed MONTHS from getting service because of a run-around",0,False,False,i have two low-income people with mental illness i helped and they have been delayed months from getting service because of a ran-around i explained to them earlier in
"The problem, of course, is that bishops talking to bishops about sexuality is useless - the blind leading the blind",0,False,False,the problem is of course that bishops talking about sexuality to bishops are useless - blinds leading blinds
Did he rape his wife,1,False,False,has he raped his wife yet?
"

1 budget minus 2 expenses (1-2)
=-1 (you're in the black)",0,False,False,1 budget minus 2 expenses 1-2-1 you're black
"Axel

A majority of Muslims consider Aga Khan and the Ismailis to be heretics",0,False,False,a majority of muslims believe aga khan and the ismailis to be heretics
This crazy-assed notion infected Alaska in the early '90's resulting in the shutdown of state-run mental hospitals and homes around the state,0,False,False,this ridiculous idea infected alaska in the early 90s resulting in the shutdown of state-owned mental hospitals and homes around the state
But no--you have no problem with the Muslims do yah-just Jews,0,False,False,but no--you don't have a problem with muslims?
"trump has mocked handicapped people, described grabbing women by the ""p*ssy,"" mocked his opponent's wives, made up childish playground insult names for everyone who crosses him, and curses freely on national television",1,False,False,"trump has mocked handicapped people, described grabbing women by the ""p*ssy,"" mocked his opponents wives, made up childish playground insult names for everyone who crosses him, and curses freely on national television"
The notion that Sam Sole has ever been suspected of being an apartheid spy is just rubbish,1,False,False,the idea that sam sole is a former spy is just rubbish
"
Thank you for sharing your experience with Emmit Till made even sadder by the recent news of the untruth that led to his death",0,False,False,thank you for sharing your experience with emmit till these memories of his death are just as tragic now as the news of the untruth
"Corrections: (1) Those claiming the Messiah's ""tolerance"" for homosexuality argue based on a negative",0,False,False,1 those claiming the messiahs tolerance of homosexuality argue based on a negative evidence for homosexuality
"Your sons will be cut down like dogs if they don""t convert to Muslim
",1,False,False,your sons will be killed like dogs if they don't convert to muslim religion
"We didn't cause 'global warming', Zika, pythons in the Everglades, the housing market crash, AIDS, world hunger, Sara Palin, the recent Aleutian volcano eruption, 'reality' TV, Paris Hilton or the selection of POS-elect Trump",0,False,False,we didn't cause global warming the housing market crash aids the housing crash the recent aleutian volcano eruption reality tv paris hilton or the selection of pos president donald trump were all
"However men from across the globe do bring a font of understanding premised on lived experience in parts of the world not truly experienced by the church's center, the Holy See",0,False,False,in some areas of the world men bring a source of knowledge that focuses on lived experience and is not truly experienced by the church center the holy see
With an EIS approval in hand AGDC can tell the world it has a viable project so if someone wants to lend us $40 billion or commit to buy LNG well above todays market price we are ready to go,0,False,False,agdc can tell the world that it has a viable project so if someone wants to lend us 40 billion or commit to buy lng well above todays market price we are ready to go
"

Local guy shoots scores of people - "" He has serious mental health issues"" or ""Let us pray for the loss"" or "" Guns have nothing to do with it""

",1,False,False,local guy shoots scores of people - he has serious mental health problems or let us pray for the loss or guns have nothing to do with it
"Because of my military pension, my SS benefits will be reduced, no ifs, ands or buts for me on that",0,False,False,because of my military pension my ss benefits will be reduced there will be no ifs and buts
Don't let those Islamist loving teachers destroy your minds,1,False,False,don't let the islamists kill your mind
It only shows how stupid he is,1,False,False,it only shows his stupidity
What a load of crap,1,False,False,what a bad lot of crap
"
-	The physical harms can be medically treated and healed, but sexual abuse by clergy is putting a child in the literal h@ll on earth & ruin their spiritual lives",0,False,False,physical harms can be medically treated and healed but sexual abuse by clergy puts a child in literal hell on earth
"As for the conditions on northern reserves, what needs to be investigated is WHAT is happening to the money they receive",0,False,False,what needs investigation is what happened to the money that they receive
"

The muslim sounding name guy (a witness) was likely running from the scene (of course) and picked up by police",0,False,False,the muslim looking name-giver a witness presumably ran from the scene of course and was eventually picked up by police
"If the shooter was a Muslim and/or an immigrant, expect to see Trumpty Dumpty and his rear sniffers at Fox exploit this shooting for maximum propaganda effect",0,False,True,if the shooter was a muslim andor immigrant expect to see trumpty dumpty and his rear sniffers exploit this shooting for maximum propaganda effect
You've obviously never been bitten by a black mamba,0,False,False,you certainly have never been bitten by a black mamba
"Personally I feel really bad for these people, they were led on by Obama to believe they were getting closer but in fact where not",0,False,False,personally i feel really bad for these people obama led them to believe they were closer but in reality the relationship was not that they were going to
"- BLM"" (Black Lives Matter)
* Our race is as important as your race",0,False,False,- black lives matter blm our race is as important as your race
"
Biden noted that many voters felt they weren't being heard during the election and pointed to the ""angry white men"" who backed Trump and have been called a ""racist",0,False,False,and biden pointed to the angry white men who backed trump and have been called racists
"Well let me instruct you, being as that youâ€™ve demonstrated some very deep ignorance here",0,False,False,well let me instruct you because you have shown deep ignorance here
Her opinions are as useless as the show they appeared on,1,False,False,she's just as useless as the show she appeared on
"
Al Green should be an embarrassment to you",0,False,False,al green should be a humiliating sight to you
"As one white woman in Las Vegas said about Trump acting like a pig around women, â€œheâ€™s just an American man",1,False,False,as one white woman in las vegas said trump was like a pig around women he is just an american man
"

Sexual activity with a child is and has always been regarded as a very grave sin by the Church",0,False,False,it is and always been considered by the church to be a very grave sin for sexual activity with children
"Sure, if you were fleeing Russian Pogroms or the Irish potato famine",0,False,False,sure if you escaped russian poop or irish potato famine
"

Does not our Christian faith require us to instruct the ignorant",0,False,False,does not christianity require us to instruct ignorant people?
"How many Canadians know trudeau vacations 
with Muslims",1,False,False,how many canadians know trudeau holidays with muslims?
Equality makes them just look stupid,1,False,False,equality makes them look like dumb 'those idiots
until they cut the genitals of a little girl and marry her off to some old creep with 3 other wives,1,False,False,until he's cut off her genitals to make her marry a creep in her heart with 3 other wives
Homosexual relationships cannot propagate the species  Therefore there is no compelling interest for the government to be involved,0,False,False,homosexual relationships cannot propagate the species therefore there is no compelling interest in the involvement of the government
and over 80% of the sexual abuse was men engaging in homosexual acts with young boys,0,False,False,and over 80 of the sexual abuse was committed by men with young boys who were also homosexuals
"
You are hypocrites and sociopaths

Anyway rationalize away if you dare",1,False,False,You are hypocrites and sociopaths Anyway rationalize away if you dare
"Yup he is no man, he is a pedophile predator",1,False,False,he's no man he's a predator pedophile
"â€œHistory informs anti-black racism and racial stereotypes that are so deeply entrenched in institutions, policies and practices, that its institutional and systemic forms are either functionally normalized or rendered invisible, especially to the dominant group,â€� the UN officials wrote",0,False,False,history informs anti-black racism and racial stereotypes that are so deeply ingrained in institutional policies and practices that its institutional and systemic forms are either functionally normalized or rendered invisible especially to the dominant
and the newest housing division over there that is at the oldest 10 years old and the newest homes are 8 is now really sketchy to be in and has thefts like crazy,0,False,False,and the newest housing division over there that is at the oldest 10 years old and the newest homes are 8 is now really sketchy to be in and has thefts like crazy
"
All a politician has to do is scream about Muslims or people from Mexico or those darn liberals, and lots of people become intimidated",1,False,False,a politician's only task is to whine about muslims or people from mexico or these darn liberals and lots of people are intimidated
This is the first time someone has actually written an article about these islamic extremist and the fact they they would kill a gay as soon as look at him or her,1,False,False,this is the first time someone has actually written an article about these islamic extremist and the fact they would kill a gay in the beginning if 
I wonder how much of our taxpayer dollars are going to be wasted on this totally ridiculous clown to assuage his widdle hurt feewings,1,False,False,i wonder how much money this clown will waste for his ridiculous worrier pricks and bruised feet?
"

But maybe those Feminists who are so concerned about this could start by asking women arriving at university why they aren't enrolling in computer programming courses",0,False,False,perhaps feminists who are so concerned about this could start asking women who are coming to university why they aren't enrolling in computer programming courses?
Black perp ambushes black female police officer,1,False,False,black perp is attacking black female police officer
"
Being rid of the racists in the White House will go a long ways to making all the other racists scurry back under their rocks where they belong",1,False,False,this decision would go a long way to making other racists scramble to where they belong and remove them from the white house
"

It hasn't been nearly as well publicized as the first time, but yet again in a real-world test, this time in July at Minneapolis-St",0,False,False,"

It hasn't been nearly as well publicized as the first time, but yet again in a real-world test, this time in July at Minneapolis-St"
The black market will still be alive to serve lower prices,0,False,False,the black market will continue to be alive to meet the lower prices
"If you don't like black bear meat, offer it for free on Craigslist",0,False,False,if you don't like black bear meat offer it on craigslist for free
"Donald Trump is striving to avoid reaching the point where either non-Muslims are forced to kill Muslims, or be killed by Muslims",1,False,False,trump is attempting to avoid reaching the point where non-muslims are forced to kill muslims or by muslims to kill them
"

They come runnin' just as fast as they can
'Cause every girl crazy 'bout a sharp dressed man",0,False,False,they run the fastest they can cause every girl crazy bout a sharp dressed man
We live in a country where a woman is free to walk in the streets without her face covered,0,False,False,we live in a country where a woman can walk freely through the streets without covering her face
Where do your girlfriends store your testicles,1,False,False,where do girlfriends keep your testicles?
"Just like Hitler's SS rounding up the jews, gypsies, homosexuals, clergy etc",1,False,False,so too hitlers nazis ss taking away jews jews gypsies homosexuals clergy etc
"Now, is every cop shooting of a black person unjustified",0,False,False,is all the cop shootings of a black man wrong?
"""Clearly ESPN employs trash on all levels"" Hmmm, one man's trash is another man's treasure",1,False,False,clearly espn uses trash on all levels hmm
"

And when Canadian minorities get sent to prison, hexx holes on their own right, they are locked up far in excess than blacks in America as a proportion of the general population",0,False,False,canadian minorities when sent to prison hex holes are on their own hexx holes locked up far more than blacks in america
"yeah definitely racist,  and white supremacist and islamaphobe and sexist and  gay bashing",1,False,False,i mean racist and a white supremacist and islamophobe and sexist and gay bashing
"They were Jaywalking, dressed in black clothes",0,False,False,they were wearing black clothes in jaywalking
"
Being racist does not act as a counterbalance to other racists",1,False,False,a racist does not constitute a counterbalance to other racists
"
I have never heard a hunter say, â€œI love the sport of hunting",1,False,False,i've never heard a hunter say i love hunting
See how ridiculous that sounds,1,False,False,see how stupid it sounds
Benedict clearly has a better understanding of the Real Presence - not surprising given his theologian background,0,False,False,benedict clearly has better understanding of the real presence - not surprising considering his theologian background - than the other popes
"

Are there are racists in the Alt Right",0,False,False,is there racism in alt-right?
He has a mental illness,1,False,False,he has mental illness
There is no conspiracy against blacks and most of the racism I have seen is towards whites not the other way around,1,False,False,there is no conspiracy against blacks and most of the racism i have seen toward whites is not the other way around
"Not some amorphous ""homosexual tendency"", but to them as homosexuals",1,False,False,not an amorphous homosexual tendency but to them as homosexuals
"
Politicoâ€™s Glenn Thrush, who was exposed in WikiLeaks emails sending stories to Hillary Clinton staffers before publication, will be joining the New York Times to cover the White House, The Huffington Post reported Monday",0,False,False,politicos glenn thrush was exposed in wikileaks emails sending stories to hillary clinton staffers before publication to join the new york times for the white house the huffington post
Are you saying that lesbian porn is acceptable if you think the women are beautiful,1,False,False,do you consider lesbian porn acceptable? if so why?
But the far right fear of it is pathetic,1,False,False,but the radical right is pathetic in its concern
This exemplifies the racist demon that lurks beneath your holier-than-thou guise,1,False,False,this exemplifies the racist demon lurking beneath your farce
"


One has to be immensely stupid/racist to think BLM is a hate group",1,False,False,one has to be totally stupidracist to think that the blm is a hate group
Please tell us why same-sex married students are more likely to have an STD from marital sex than heterosexual married students,0,False,False,do same-sex married students have an std from marital sex more likely than heterosexual married students?
"""Diplomatic discussions suggested very strongly the Garratts had been seized in retribution",0,False,False,diplomatic discussions have suggested very strongly that garratts had been seized in revenge for their alleged crimes
shoot down their damn test flight and call their bluff,1,False,False,shoot down the hell out of the test flight and get them to call the alarm
"It seems to me, blacks have a lot of privilege I don't have",1,False,False,i think blacks have a lot of privilege that i don't have
"Kushner) Conservative, Reform and Reconstructionist Jews",0,False,False,kushner reform and reconstructionist conservative jewish jews
"Finally, Muslims are admitting Islam is not the religion of Peace",1,False,False,muslims accept that islam is not the religion of peace
Isn't it less damning to say ALL Lives matter and not single out  Blacks,0,False,False,how do i say all lives matter and not just blacks?
"
Double jeopardy is a procedural defence that prevents an accused person from being tried again on the same (or similar) charges and on the same facts, following a valid acquittal or conviction",0,False,False,double jeopardy is a procedural defence that prevents an accused person from being tried in the same or similar charges on the same facts after a valid acquit
"Generally speaking, they're cowards -- afraid, perhaps, of guilt by association",0,False,False,most generally they are cowards -- perhaps afraid of guilt
"Those who want to keep this farce going have no intention of ever addressing the base problem, that of aboriginal men murdering aboriginal women",0,False,False,who want to keep this joke going have no intention of ever tackling the base problem of aboriginal men murdering aboriginal women
"Well, that reply is typical of the way you always try to interpret the divinely inspired text in Scripture in the most self-serving and narcissistic manner",0,False,False,this reply is typical of the way in which you try to interpret the divinely inspired text in scripture in the most self-serving and narcissistic manner possible
"Meanwhile bishops are covering for the pernicious problem of the secret lifestyles of their priests, gay and straight",1,True,False,meanwhile bishops cover the pernicious problem of the secret lifestyles of their priests gay and straight in their churches
"Some languages belong to the same family, others not so",0,False,False,some languages belong to the same family some not so much
