text,Class
@TheTweetOfGod Special Birthday Song for Drumpf! #fuckTrump    https://t.co/xUJXn58XyC,0
This is the day that reminds the world that @realDonaldTrump should have been aborted. #FuckTrump and while I’m at it #Fuck @FLOTUS for being a whore that fucks this piece of after birth abortion,3
#DhoniKeepsTheGlove because Dhoni is a Lt Colonel @ICCMediaComms,0
It's Getting Pretty Hard Not To Get Ejected From A Game Ángel Hernández Is Umpiring https://t.co/2jxSoCxe3I #Douchebag,1
3 weeks ago I said to friends:\nId be amazed if @BorisJohnson doesnt bottle being PM again like last time & find some excuse to drop out of the race. Because he is all mouth & knows deep down he be a shit PM & cant deliver fuck all & knows he will be a failure #BorisJohnson pic.twitter.com/aNi4O9bdaM,3
"@Miz_banks @PenceConscience Well technically yes,  but I think that's a lot of effort. I have people and pages I follow, that I built over time. I'll accept the time out, it was worth it. #fucktrump #byefelicia",0
If a cricketer can put their personal sponsors sticker on their bat then why can’t @msdhoni wear a #BalidaanBadge which makes every Indian proud.@ICC don’t you have any other work then checking Badges? @BCCI should back Dhoni. #WeStandWithDHONI #DhoniKeepsTheGlove @chirayu_patel,1
@KellyannePolls to Leave @WhiteHouse Immediately and Begin New Job at Kremlin    https://t.co/4NZ3HtqCdk    #FuckTrump #ImpeachTrumpNow,0
#Despotus reminds me of some of the most idiotic frat boys I met in college. #fucktrump #scrotus,0
Who was talking about 'audacity' again?  #DoctorsFightBack #DoctorsProtest #DoctorsStrike https://t.co/9cbvMApDWb,0
Trump is a #liar  #beggarman   #grifter   #thief  #FuckTrump  #VOTE https://t.co/HH9VYMWFTj,3
Detroit police are looking for a possible serial killer and rapist targeting sex workers #rapist #and #targeting https://t.co/R7dlATGqBL https://t.co/GtSice8GiN,3
Back-stabbing son of a bitch. #TrumpIsATraitor https://t.co/TQKOs07dPH,1
@hbaldwin @Jeremy_Hunt @PennyMordaunt @JH4Leader @HastobeHunt he(‘unt)  still hasn’t answered for all the deaths that occurred following the destruction of the #NHS while he (unt) was the health minister. Should a #liar and a #murderer be prime minister? #bloodonhishands #ToryLeadershipElection @BBCNews @BBCNewsnight @Channel4News @itvnews,0
"@TheRealOJ32 I know quite a few people who would like to 'get even' with you #MURDERER You did it, you admitted it, and you deserve to rot.",1
@realDonaldTrump So ironic that you of all people still don’t seem to understand what constitutes treason. #TrumpTreason #TrumpIsATraitor,0
#DoctorsFightBack @MamataOfficial didi is a worst politicians ever arrogant lady @Avinash_Hodar,2
@Kevo_Bevo short man cop syndrome. #douchebag #NoExcuse,0
#DoctorsProtest #DoctorsStrike #DoctorStrike #DoctorsFightBack #DoctorsUnderOppression #Doctors     REMEMBER DR. KAFEEL KHAN FROM #UttarPradesh ❓    HE WAS JAILED BY @myogiadityanath GOVERNMENT‼️    #Doctors SHOULD HAVE FOUGHT BACK THEN TOO‼️    ANYTHING POLITICAL ABOUT IT ‼️❓ https://t.co/D9wy9wyEG9,0
There should be proper planning for the matches that have been washed out in the rain. One or two matches can be considered but when every match seems to be washed out then what should be said about ICC @ICC #CWC2019 #ShameOnICC,1
@FirstTake @ESPNNBA @maxkellerman Oh man. Here comes the stupidity.    Shut up already.     Weren't the #Raptors supposed to be swept??     #douchebag,0
"@robreiner We should start an #ImpeachmentInquiryNow! Congress can get ALL the info and docs they need bc Impeachment Subpoenas can NOT be ignored! Congress needs to show the American ppl that #TrumpIsATraitor, #TrumpIsALiar and  #TrumpIsACriminal! Then Impeachment proceeding can begin!",1
"Everybody said when #obama was elected the first time, America had now become a 'post-racial' country. That's a good one. Best laugh of the day for sure. Ugh. #fucktrump #vote2020 #fml",3
#ShameOnICC @ECB_cricket hahaha I pity on your country where called as national sport of the country for we Indians cricket is not just a sports lts a other religion. https://t.co/yLRpNKoASZ,1
#ShameOnICC How eagerly we wait for match but this rain ruin it😩😩😩😩😒😒😒😒😒,0
@SenSchumer DO NOT FORGOT YOU WANYED BORDERS CLOSED AND ILLEGALS OUT. #DICKHEAD,0
‘Home they brought her warrior dead.. She nor swooned nor uttered cry’ - Alfred Lord Tennyson..    She didn’t cry coz she was a warrior too..    He died of assault from the same people he tried to save..     #DoctorsFightBack,0
Bengal healthcare in coma as over 700 doctors quit!  #DoctorsFightBack  #Savethedoctors https://t.co/gTOkSy1yBF,0
"The IMA has announced Strike, just note the date '17 June'. The ultimatum given by  #MamtaBanerjee is only of 4 hours,  I would like to inform that it will go beyond the time limit.  Be Ready.....  #DoctorsOnStrike  #DoctorsFightBack   👨‍⚕️👩‍⚕️⚕️ https://t.co/iDAUP7ULSD",0
Worst world cup series ever had. #icc never ever try to organize world cup series again.   #ShameOnICC #icc #CWC19 #RainStopsMatch https://t.co/pcHLFVh2lP,1
@TMZ Little girl  @andycohen   crying because he couldn't be in a parade. Such a hypocrite bought a kid for a doll...  #douchebag,1
@realDonaldTrump Poor little you. Show us where the bigly yuuge mean newspaper hurt you.     #LockTrumpUp  #ImpeachmentInquiryNow   #ImpeachTrump   #ImpeachBarr   #ImpeachMnuchin  #TrumpIsATraitor,1
This is everything. #fucktrump https://t.co/e2C48U3pss,3
"@PalmerReport Whoever came up with the idea of declaring today #JohhMcCainDay was genius!  👏👏👏👏👏    By the way, #FuckTrump  I hope #FatNixon has his worst and last birthday of his empty, miserable life.",3
What the fucking fuck? #BorisJohnson ,3
"@joe_turcotte @GOP Yes, animal who are about to be slaughtered have the same excitement.   #TrumpIsATraitor",0
#GandiNaaliAbuse hey you supporters of Gandi Naali abuser say that person does not know Hindi. Was he intending to speak in Italian language which is not a language in Indian Parliament. The same abuse should apply to those who shower it.,1
"@POTUS to @GStephanopoulos the other day, 'No collusion occurred in 2016, but I'm open to it on 2020.' #FactsMatter #TrumpRussia #TrumpIsATraitor #ImpeachmentHearingsNow #LockHimUp #2020PresidentialElection #BlueWave2020 #FBR #Resist",0
"@ICC Everyone waited for 4 years to see the England Rains , what a proud moment 👏  #ShameOnICC",0
Worst world cup tournament...worst management..... #ShameOnICC,0
From our Latino friends. #Liar #fucksarahsanders #fucktrump #VoteBlueNoMatterWho2020 https://t.co/bvqU7aKvIB,3
@PAngo329 @realDonaldTrump china recently tripled it's soybean purchases from Russia..i'm sure you are right about Brazil and South America as well..It's not coming Back!! #IdiotTrump,0
Boris Johnson is a winner but we won’t buy his car | News | The Sunday Times https://t.co/29FxZP2BTn  #BorisJohnsonShouldNotBePM,0
WC 2019 trophy replaced officially.    @ICC #ShameOnICC https://t.co/QSgi998D3l,1
@timesofindia Mamta is doing wrong. But where was IMA when there were incidents of Dr. assaults in different states? Here is a list: #DoctorsFightBack #DoctorsStrike #DoctorStrike #DoctorsProtest     https://t.co/lnPeICZWM6,0
Why people eagerly wait 4 years for the @cricketworldcup? To see the rain???? To see matches getting abandoned??? To see teams share a point each without even proper competition??? That's really #ShameOnICC. #CWC19,0
Then #ABrandNewDayOUTNOW was released and it is AMAZING  And now #BoyWithLuv18thWin 🏆  #ShameOnICC @PlayBazaar @PlayBazzar #ABrandNewDayOutNow  #BoyWithLuv18thWin 🎉🎉🎉🎉🎉    Link Now https://t.co/bpgkmUDz5B https://t.co/UqLQufHtEK,0
The entire nation will respect these doctors if they continue to serve patients in the same hospitals even after their resignation #DoctorsFightBack https://t.co/s175eS5M2I,0
Strauss Tummy Twister @ Rs.499    https://t.co/2dBvQW2Kix    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0
AMERICA NEEDS A NEW PRESIDENT ASAP. TRUMP IS A TRAITOR. WILL ONLY GET WORSE! @realdonaldtrump go off and die like an old diseased riddled dog you ARE YOU ABSOLUTE POS #ImpeachTrumpNow #trumpisatraitor #trumpisadisgrace,2
@csfraw @marklevinshow Clinton lied under oath about his extramarital affair. And he did it in the Oval Office. Disgusting human.    #billclinton  #rapist    https://t.co/ogiIQhif22,2
But they didn’t deceive us!? Most of us knew it was a SHIT bill but we truly have no say! This life is just a simulation and it’s sad. But... imma live my best life and do dope shit regardless. I’ll figure it out! Oh btw... #fucktrump https://t.co/tl4fecNt3I,3
Mr @adhirrcinc u have made a big mistake by calling the Prime Minister of India #Gandinali. People of India will not Forgive you.\nShame on you !!\n#CongGandiNaaliInsult \n#GandiNaaliAbuse,1
@ICC @bcci @msdhoni #DhoniKeepsTheGlove     If u can allow namaz on ground    If u allow save gaza band    If u allow salute on ground    Then whats wrong in balidaan badge    R u a fool icc or its clear u hv double standard u r not keeping ur words    World doesn't need icc,1
Wouldn’t put it past him! The lies are endless! #Trump #TrumpMustResign #TrumpIsATraitor #Trump2020 #Fascism https://t.co/MbNDmH8LYq,0
@BSYBJP sir please take the #IMAJewels #IMAFraud case to @narendramodi and hand it over to CBI plz we are counting on you 😭😭,0
What a proud moment!!😍  We literally waited for 4 years to see the rain of englnd     Thankyou  @ICC 🙂    #ShameICC #ShameOnICC #rainyworldcup #RainStopsMatch #rain #Worldcup19 #WorldCup,0
@AJEnglish Why spend tax $$ for feeding lodging &amp;health of 3 convicted #murderer #rapist #pedophile for the rest of of their life?? W #rape &amp;#killing a child they proved they r not human ..so they should b treated as such ..they each should be raped &amp; then killed publicly .. The End #India,1
Saw this and instantly thought of @mrjasonaalon and @fever333 🙌🏽 #fucktrump https://t.co/4rCvqrZiPx,0
#Dummy. Pressure campaign is just getting warmed up. Can't wait to retaliate against the women traders for displaying our soldiers on iranian tv.     P.S Have you gotten that dirt on Trump you were hoping for from the RUSSIANS EVERYONE heard you talking to on the phone? #dickhead https://t.co/fEMOwBT58u,0
@BillCosby You know what else he said in 1971 'yeah baby. I totally wobt rape you'.... Well that was all lies wasnt it. #rapist #hopeyoudie,0
Jesus suffering fuck! Hunt or Johnson. Hands up everyone who is now up for a shit load of chaos with Ed Miliband? #chaoswithedmiliband  #ToryLeadershipContest #BrexitShambles #BorisJohnson pic.twitter.com/6A43S8lBkE,2
"I have wonderful doctors, who have gone beyond the call of duty to support me during difficult times.   #ILoveMyDoctor    #SaveTheSaviour   #DoctorsFightBack   #DoctorsProtest   #SaveBengal   #SaveBengalFromTMC   #doctors_against_assualt",0
"While enduring the test of our public safety sirens, I can't help but wonder how different it would be if the candidate with the most votes was actually our President. @HillaryClinton @brianschatz @maziehirono #idiotTrump",1
#ShameOnICC #INDvPAK  #maukamauka #INDvNZ #CWC19 @StarSportsIndia #CricketKaCrown @BCCI @TheRealPCB #ENGvWI  it's time to remind this epic ad @virendersehwag @cricketaakash @sanjaymanjrekar @tiwarymanoj  @cricbuzz https://t.co/vX2krYzBBn,0
@bhogleharsha @ICC can see @msdhoni badge but doesn't see the ground was not covered.  Most developed Country in 🌏 and call 🏏 as the national sports Yet can't do anything for the biggest tournament. Learn something from #EdenGarden  #ShameOnICC #WorldCup2019 #iccraincup2019 #CricketKaCrown https://t.co/CuYUiOjW4j,1
"#DoctorsFightBack  If a doctor start assaulting people I can guarantee u guys no one will be saved bcz no one knows how to save a life better then us , but we believe in saving life's as it's our duty above all other things. https://t.co/x7XbIu3f2U",0
@pythoroshan @adite Its a sad day for society at large when Doctors have to fight to https://t.co/p4Gs5Bwgxs justice seems to be a myth   #SaveTheDoctors #SaveBengal   #DoctorsFightBack,0
@realDonaldTrump And you #TrumpLiesEveryTimeHeSpeaks #TrumpsAnInternationalDisgrace #TrumpIsANationalSecurityThreat #TrumpIsATraitor #TrumpIsADisgrace #TrumpIsNotAboveTheLaw,1
"I'm not a med student . But I support our future doctors,  I support their professors and I support their parents.  We should be one man one voice.  But not only med students are in danger,  all Moroccan students are in danger.   #DoctorsUnderOppression   #DoctorsFightBack",0
"Trump politicizes Mexico deal, adding to doubts it is a mirage #Resist #ResistTrump #FuckTrump https://t.co/GtKalivYaS",0
The Raptor fan waving bye at Durant when he went down is what is wrong with sports fans. #Douchebag #NBAFinals2019,3
#ShameOnICC    Saved my 1.5 GB data to watch #INDvsNZ match and finally found this.. #CWC19  @ICC https://t.co/ambKRiD940,1
@realDonaldTrump YOU'RE the biggest scandal in the history of the United States of America.    #ImpeachTrumpNow  #UNFIT  #TraitorTrump  #HighCrimesAndMisdemeanors  #NoOneIsAboveTheLaw  #ObstructionOfJustice  #TrumpRussia  #Collusion  #TrumpsWorseThanNixon  #IllegitimatePresident  #FuckTrump    #Resistance 🇺🇲🇺🇲 https://t.co/XBxBosSojD,3
@UROCKlive1 He’s had the worst numbers of any president ever. Theres not much “Lower” to go. #TrumpIsATraitor,2
But it's not being risk averse that keeps #Johnson away from scrutiny is it? It's a belief that he should be  beyond accountability. He is road testing autocracy. #BorisJohnsonShouldNotBePM https://t.co/Gf9PFy4dJJ,0
HAMMER FIT Pro Smart Fitness Tracker   @ Rs.3199 (mrp-5999)    https://t.co/vMB1riGYYs    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0
@AdamBaldwin yeah #FakePOTUS #fucktrump #ITMFA,0
@pollypreston @MattHancock It comes with a vacant seat in the PM's office as #BorisJohnsonShouldNotBePM  won't bother to turn in,1
"So @TheRealOJ32 is now on Twitter and it makes me wonder if his Tweets will make him a Twitter community pillar, or as in real life, a double murdering killer? #OJSimpson #Murderer #Liar",0
Disappointment Remains #ShameOnICC https://t.co/g5ou0TLN3I,0
@DavidWohl You fool .  Blocked! #TrumpIsATraitor #ImpeachTrumpNow https://t.co/EZx926HFtV,1
